Year,Value,SERIES
2007,94.1,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2008,95.3,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2009,95.4,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2010,96.5,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2011,95.1,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2012,96.2,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2013,96.9,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2014,95.8,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2015,96.6,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2016,96.1,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2017,93.4,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2018,94.5,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2019,94.351083,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3)
2007,98.8,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2008,99.1,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2009,98.9,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2010,98.3,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2011,97.2,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2012,97.7,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2013,98.666102,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2014,95.6,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2015,99.1,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2016,97.0,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2017,94.7,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2018,96.244215,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2019,97.245414,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2)
2015,96.8,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3)
2016,97.2,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3)
2017,94.2,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3)
2018,92.0,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3)
2019,95.083643,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3)
