Year,Value,SERIES
2007,25.6,Proportion of seats held by women in national parliaments (% of total number of seats)
2008,25.6,Proportion of seats held by women in national parliaments (% of total number of seats)
2009,25.6,Proportion of seats held by women in national parliaments (% of total number of seats)
2010,23.5,Proportion of seats held by women in national parliaments (% of total number of seats)
2011,20.8,Proportion of seats held by women in national parliaments (% of total number of seats)
2012,20.8,Proportion of seats held by women in national parliaments (% of total number of seats)
2013,22.5,Proportion of seats held by women in national parliaments (% of total number of seats)
2014,21.7,Proportion of seats held by women in national parliaments (% of total number of seats)
2015,21.7,Proportion of seats held by women in national parliaments (% of total number of seats)
2016,15.8,Proportion of seats held by women in national parliaments (% of total number of seats)
2017,16.7,Proportion of seats held by women in national parliaments (% of total number of seats)
2018,15.8,Proportion of seats held by women in national parliaments (% of total number of seats)
2019,16.7,Proportion of seats held by women in national parliaments (% of total number of seats)
2020,16.7,Proportion of seats held by women in national parliaments (% of total number of seats)
2021,20.5,Proportion of seats held by women in national parliaments (% of total number of seats)
2022,21.1,Proportion of seats held by women in national parliaments (% of total number of seats)
2016,15.61,Proportion of seats held by women in local governments (% of total number of seats)
2017,15.09,Proportion of seats held by women in local governments (% of total number of seats)
2018,14.96,Proportion of seats held by women in local governments (% of total number of seats)
2019,15.16,Proportion of seats held by women in local governments (% of total number of seats)
2020,14.98,Proportion of seats held by women in local governments (% of total number of seats)
2021,31.55,Proportion of seats held by women in local governments (% of total number of seats)
2022,36.46,Proportion of seats held by women in local governments (% of total number of seats)
