Year,Value,Unit multiplier,UNIT_MEASURE,SERIES
2010,18.0,Units,Number,Number of reporting insurance companies
2011,18.0,Units,Number,Number of reporting insurance companies
2012,19.0,Units,Number,Number of reporting insurance companies
2013,19.0,Units,Number,Number of reporting insurance companies
2014,21.0,Units,Number,Number of reporting insurance companies
2015,22.0,Units,Number,Number of reporting insurance companies
2016,24.0,Units,Number,Number of reporting insurance companies
2017,23.0,Units,Number,Number of reporting insurance companies
2018,22.0,Units,Number,Number of reporting insurance companies
2019,20.0,Units,Number,Number of reporting insurance companies
2020,15.0,Units,Number,Number of reporting insurance companies
2021,14.0,Units,Number,Number of reporting insurance companies
2022,15.0,Units,Number,Number of reporting insurance companies
2023,16.0,Units,Number,Number of reporting insurance companies
2024,16.0,Units,Number,Number of reporting insurance companies
2010,477.2,Millions,Local currency,Insurance premium income
2011,292.9,Millions,Local currency,Insurance premium income
2012,337.8,Millions,Local currency,Insurance premium income
2013,405.4,Millions,Local currency,Insurance premium income
2014,1003.2,Millions,Local currency,Insurance premium income
2015,967.0,Millions,Local currency,Insurance premium income
2016,921.3,Millions,Local currency,Insurance premium income
2017,1004.4,Millions,Local currency,Insurance premium income
2018,1092.7,Millions,Local currency,Insurance premium income
2019,1308.1,Millions,Local currency,Insurance premium income
2020,1308.3,Millions,Local currency,Insurance premium income
2021,1252.8,Millions,Local currency,Insurance premium income
2022,2130.4,Millions,Local currency,Insurance premium income
2023,3031.4,Millions,Local currency,Insurance premium income
2024,5200.5,Millions,Local currency,Insurance premium income
