Year,Value,SERIES
2013,2.3,Proportion of employed in small-sized enterprises in total employment
2014,2.3,Proportion of employed in small-sized enterprises in total employment
2015,2.2,Proportion of employed in small-sized enterprises in total employment
2016,2.2,Proportion of employed in small-sized enterprises in total employment
2017,2.3,Proportion of employed in small-sized enterprises in total employment
2018,2.2,Proportion of employed in small-sized enterprises in total employment
2019,3.0,Proportion of employed in small-sized enterprises in total employment
2013,1.6,Proportion of employed in medium-sized enterprises in total employment
2014,1.6,Proportion of employed in medium-sized enterprises in total employment
2015,1.5,Proportion of employed in medium-sized enterprises in total employment
2016,1.5,Proportion of employed in medium-sized enterprises in total employment
2017,1.5,Proportion of employed in medium-sized enterprises in total employment
2018,1.4,Proportion of employed in medium-sized enterprises in total employment
2019,1.4,Proportion of employed in medium-sized enterprises in total employment
