Year,Value,SERIES
2015,10275.014,Carbon dioxide emissions from fuel combustion
2016,8840.465,Carbon dioxide emissions from fuel combustion
2017,9449.068,Carbon dioxide emissions from fuel combustion
2018,18334.32,Carbon dioxide emissions from fuel combustion
2019,16586.26,Carbon dioxide emissions from fuel combustion
2020,16828.16,Carbon dioxide emissions from fuel combustion
2021,18761.5,Carbon dioxide emissions from fuel combustion
2022,19075.4,Carbon dioxide emissions from fuel combustion
2023,19374.16,Carbon dioxide emissions from fuel combustion
2015,2.386822,Carbon dioxide emissions per unit of GDP
2016,1.855949,Carbon dioxide emissions per unit of GDP
2017,1.781244,Carbon dioxide emissions per unit of GDP
2018,0.0322,Carbon dioxide emissions per unit of GDP
2019,0.0268,Carbon dioxide emissions per unit of GDP
2020,0.0278,Carbon dioxide emissions per unit of GDP
2021,0.0259,Carbon dioxide emissions per unit of GDP
2022,0.0208,Carbon dioxide emissions per unit of GDP
2023,0.0158,Carbon dioxide emissions per unit of GDP
2015,1.560781,Carbon dioxide emissions per unit of manufacturing value added
2016,1.29663,Carbon dioxide emissions per unit of manufacturing value added
2017,1.355711,Carbon dioxide emissions per unit of manufacturing value added
2018,0.2256,Carbon dioxide emissions per unit of manufacturing value added
2019,0.1822,Carbon dioxide emissions per unit of manufacturing value added
2020,0.1935,Carbon dioxide emissions per unit of manufacturing value added
2021,0.196,Carbon dioxide emissions per unit of manufacturing value added
2022,0.1673,Carbon dioxide emissions per unit of manufacturing value added
