Year,Value,SERIES
2012,975,Proportion of population covered by at least a 2G mobile network
2013,976,Proportion of population covered by at least a 2G mobile network
2014,977,Proportion of population covered by at least a 2G mobile network
2015,978,Proportion of population covered by at least a 2G mobile network
2016,990,Proportion of population covered by at least a 2G mobile network
2017,991,Proportion of population covered by at least a 2G mobile network
2018,992,Proportion of population covered by at least a 2G mobile network
2019,993,Proportion of population covered by at least a 2G mobile network
2020,990,Proportion of population covered by at least a 2G mobile network
2012,463,Proportion of population covered by at least a 3G mobile network
2013,510,Proportion of population covered by at least a 3G mobile network
2014,570,Proportion of population covered by at least a 3G mobile network
2015,590,Proportion of population covered by at least a 3G mobile network
2016,600,Proportion of population covered by at least a 3G mobile network
2017,750,Proportion of population covered by at least a 3G mobile network
2018,880,Proportion of population covered by at least a 3G mobile network
2019,910,Proportion of population covered by at least a 3G mobile network
2020,893,Proportion of population covered by at least a 3G mobile network
2014,5,Proportion of population covered by at least a 4G mobile network
2015,16,Proportion of population covered by at least a 4G mobile network
2016,400,Proportion of population covered by at least a 4G mobile network
2017,500,Proportion of population covered by at least a 4G mobile network
2018,700,Proportion of population covered by at least a 4G mobile network
2019,850,Proportion of population covered by at least a 4G mobile network
2020,819,Proportion of population covered by at least a 4G mobile network
