Year,Units,Value
2007,code.PT,114961.0
2008,code.PT,120274.0
2009,code.PT,124751.0
2010,code.PT,133398.0
2011,code.PT,142897.0
2012,code.PT,150206.0
2013,code.PT,162967.0
2014,code.PT,168679.0
2015,code.PT,174693.0
2016,code.PT,178944.0
2017,code.PT,183330.0
2018,code.PT,187313.0
2007,code.NUMBER,2.1907490000000003
2008,code.NUMBER,2.2739529999999997
2009,code.NUMBER,2.326232
2010,code.NUMBER,2.46199
2011,code.NUMBER,2.608742
2012,code.NUMBER,2.705494
2013,code.NUMBER,2.8211720000000002
2014,code.NUMBER,2.861361
2015,code.NUMBER,2.902128
2016,code.NUMBER,2.914302
2017,code.NUMBER,2.930125
2018,code.NUMBER,2.931575
