Year,Units,Value
2007,code.PT,528719.0
2008,code.PT,558865.0
2009,code.PT,564567.0
2010,code.PT,574816.0
2011,code.PT,593670.0
2012,code.PT,613147.0
2013,code.PT,625354.0
2014,code.PT,634261.0
2015,code.PT,646854.0
2016,code.PT,661202.0
2017,code.PT,673230.0
2018,code.PT,694839.0
2007,code.PT,10.1
2008,code.PT,10.6
2009,code.PT,105.0
2010,code.PT,106.0
2011,code.PT,108.0
2012,code.PT,110.0
2013,code.PT,108.0
2014,code.PT,108.0
2015,code.PT,107.0
2016,code.PT,108.0
2017,code.PT,108.0
2018,code.PT,109.0
2007,code.NUMBER,434382.0
2008,code.NUMBER,361606.0
2009,code.NUMBER,370838.0
2010,code.NUMBER,362068.0
2011,code.NUMBER,376845.0
2012,code.NUMBER,343530.0
2013,code.NUMBER,336228.0
2014,code.NUMBER,310717.0
2015,code.NUMBER,304277.0
2016,code.NUMBER,275907.0
2017,code.NUMBER,291846.0
2018,code.NUMBER,276447.0
2007,code.PT,83.0
2008,code.PT,68.0
2009,code.PT,69.0
2010,code.PT,6.6
2011,code.PT,69.0
2012,code.PT,62.0
2013,code.PT,5.8
2014,code.PT,5.3
2015,code.PT,5.1
2016,code.PT,4.5
2017,code.PT,4.7
2018,code.PT,4.5
2007,code.NUMBER,58984.0
2008,code.NUMBER,60863.0
2009,code.NUMBER,63069.0
2010,code.NUMBER,67596.0
2011,code.NUMBER,70507.0
2012,code.NUMBER,71266.0
2013,code.NUMBER,74835.0
2014,code.NUMBER,77570.0
2015,code.NUMBER,80544.0
2016,code.NUMBER,84282.0
2017,code.NUMBER,86958.0
2018,code.NUMBER,88778.0
2007,code.PT,11.0
2008,code.PT,12.0
2009,code.PT,12.0
2010,code.PT,1.2
2011,code.PT,13.0
2012,code.PT,13.0
2013,code.PT,1.3
2014,code.PT,1.3
2015,code.PT,1.3
2016,code.PT,1.4
2017,code.PT,1.4
2018,code.PT,1.4
