Year,Sex,Unit measure,Observation status,Unit multiplier,Value
2007,,Percent,Normal value,Units,8.2
2008,,Percent,Normal value,Units,8.2
2009,,Percent,Normal value,Units,8.4
2010,,Percent,Normal value,Units,8.6
2011,,Percent,Normal value,Units,8.5
2012,,Percent,Normal value,Units,8.4
2013,,Percent,Normal value,Units,8.3
2014,,Percent,Normal value,Units,8.0
2015,,Percent,Normal value,Units,7.6
2016,,Percent,Normal value,Units,7.2
2017,,Percent,Normal value,Units,6.9
2007,Male,Percent,Normal value,Units,7.6
2008,Male,Percent,Normal value,Units,7.3
2009,Male,Percent,Normal value,Units,7.4
2010,Male,Percent,Normal value,Units,7.7
2011,Male,Percent,Normal value,Units,7.6
2012,Male,Percent,Normal value,Units,7.7
2013,Male,Percent,Normal value,Units,7.4
2014,Male,Percent,Normal value,Units,7.0
2015,Male,Percent,Normal value,Units,6.5
2016,Male,Percent,Normal value,Units,6.2
2017,Male,Percent,Normal value,Units,5.6
2007,Female,Percent,Normal value,Units,9
2008,Female,Percent,Normal value,Units,9.4
2009,Female,Percent,Normal value,Units,9.8
2010,Female,Percent,Normal value,Units,9.9
2011,Female,Percent,Normal value,Units,9.9
2012,Female,Percent,Normal value,Units,9.5
2013,Female,Percent,Normal value,Units,9.7
2014,Female,Percent,Normal value,Units,9.5
2015,Female,Percent,Normal value,Units,9.0
2016,Female,Percent,Normal value,Units,8.7
2017,Female,Percent,Normal value,Units,8.9
