Year,Unit measure,Observation status,Unit multiplier,Value
2007,Number,Normal value,Millions,470.7
2008,Number,Normal value,Millions,504.3
2009,Number,Normal value,Millions,545.7
2010,Number,Normal value,Millions,532.9
2011,Number,Normal value,Millions,566.6
2012,Number,Normal value,Millions,603.1
2013,Number,Normal value,Millions,619
2014,Number,Normal value,Millions,638.6
2015,Number,Normal value,Millions,653.1
2016,Number,Normal value,Millions,682.2
2017,Number,Normal value,Millions,709.9
2018,Number,Normal value,Millions,731.6
2007,Number,Normal value,Millions,0.4
2008,Number,Normal value,Millions,0.6
2009,Number,Normal value,Millions,0.8
2010,Number,Normal value,Millions,0.7
2011,Number,Normal value,Millions,0.6
2012,Number,Normal value,Millions,0.5
2013,Number,Normal value,Millions,0.4
2014,Number,Normal value,Millions,0.3
2015,Number,Normal value,Millions,0.3
2016,Number,Normal value,Millions,0.3
2017,Number,Normal value,Millions,0.3
2018,Number,Normal value,Millions,0.3
2007,Number,Normal value,Millions,436.2
2008,Number,Normal value,Millions,474.4
2009,Number,Normal value,Millions,510.5
2010,Number,Normal value,Millions,492.6
2011,Number,Normal value,Millions,524.2
2012,Number,Normal value,Millions,563.8
2013,Number,Normal value,Millions,579.5
2014,Number,Normal value,Millions,596.1
2015,Number,Normal value,Millions,604.1
2016,Number,Normal value,Millions,627.3
2017,Number,Normal value,Millions,649.7
2018,Number,Normal value,Millions,664.5
2007,Number,Normal value,Millions,24.7
2008,Number,Normal value,Millions,17.4
2009,Number,Normal value,Millions,21.1
2010,Number,Normal value,Millions,24.6
2011,Number,Normal value,Millions,23.8
2012,Number,Normal value,Millions,19.5
2013,Number,Normal value,Millions,19
2014,Number,Normal value,Millions,20.1
2015,Number,Normal value,Millions,23.3
2016,Number,Normal value,Millions,25.9
2017,Number,Normal value,Millions,29.3
2018,Number,Normal value,Millions,33.1
2007,Number,Normal value,Millions,9.1
2008,Number,Normal value,Millions,11.5
2009,Number,Normal value,Millions,12.9
2010,Number,Normal value,Millions,14.5
2011,Number,Normal value,Millions,17.3
2012,Number,Normal value,Millions,18.5
2013,Number,Normal value,Millions,19.1
2014,Number,Normal value,Millions,20.9
2015,Number,Normal value,Millions,24.2
2016,Number,Normal value,Millions,27.6
2017,Number,Normal value,Millions,29.1
2018,Number,Normal value,Millions,32.4
2007,Number,Normal value,Millions,0.3
2008,Number,Normal value,Millions,0.4
2009,Number,Normal value,Millions,0.4
2010,Number,Normal value,Millions,0.5
2011,Number,Normal value,Millions,0.7
2012,Number,Normal value,Millions,0.8
2013,Number,Normal value,Millions,1
2014,Number,Normal value,Millions,1.2
2015,Number,Normal value,Millions,1.2
2016,Number,Normal value,Millions,1.1
2017,Number,Normal value,Millions,1.5
2018,Number,Normal value,Millions,1.4
