Year,SERIES,SEX,Value
2014,_L_KG_160501_1B1,,378
2015,_L_KG_160501_1B1,,336
2016,_L_KG_160501_1B1,,351
2017,_L_KG_160501_1B1,,234
2018,_L_KG_160501_1B1,,342
2019,_L_KG_160501_1B1,,223
2020,_L_KG_160501_1B1,,210
2021,_L_KG_160501_1B1,,371
2022,_L_KG_160501_1B1,,370
2014,_L_KG_160501_1B2,,62
2015,_L_KG_160501_1B2,,69
2016,_L_KG_160501_1B2,,72
2017,_L_KG_160501_1B2,,52
2018,_L_KG_160501_1B2,,56
2019,_L_KG_160501_1B2,,66
2020,_L_KG_160501_1B2,,59
2021,_L_KG_160501_1B2,,178
2022,_L_KG_160501_1B2,,137
2014,_L_KG_160501_1B1,M,323
2015,_L_KG_160501_1B1,M,278
2016,_L_KG_160501_1B1,M,286
2017,_L_KG_160501_1B1,M,196
2018,_L_KG_160501_1B1,M,297
2019,_L_KG_160501_1B1,M,193
2020,_L_KG_160501_1B1,M,184
2021,_L_KG_160501_1B1,M,342
2022,_L_KG_160501_1B1,M,314
2014,_L_KG_160501_1B2,M,57
2015,_L_KG_160501_1B2,M,65
2016,_L_KG_160501_1B2,M,61
2017,_L_KG_160501_1B2,M,44
2018,_L_KG_160501_1B2,M,53
2019,_L_KG_160501_1B2,M,57
2020,_L_KG_160501_1B2,M,54
2021,_L_KG_160501_1B2,M,168
2022,_L_KG_160501_1B2,M,121
2014,_L_KG_160501_1B1,F,55
2015,_L_KG_160501_1B1,F,58
2016,_L_KG_160501_1B1,F,65
2017,_L_KG_160501_1B1,F,38
2018,_L_KG_160501_1B1,F,45
2019,_L_KG_160501_1B1,F,30
2020,_L_KG_160501_1B1,F,26
2021,_L_KG_160501_1B1,F,29
2022,_L_KG_160501_1B1,F,50
2014,_L_KG_160501_1B2,F,5
2015,_L_KG_160501_1B2,F,4
2016,_L_KG_160501_1B2,F,11
2017,_L_KG_160501_1B2,F,8
2018,_L_KG_160501_1B2,F,3
2019,_L_KG_160501_1B2,F,9
2020,_L_KG_160501_1B2,F,5
2021,_L_KG_160501_1B2,F,10
2022,_L_KG_160501_1B2,F,16
