Year,SERIES,UNIT_MEASURE,Value
2007,_L_KG_010301_1F2,NUMBER,114961.0
2008,_L_KG_010301_1F2,NUMBER,120274.0
2009,_L_KG_010301_1F2,NUMBER,124751.0
2010,_L_KG_010301_1F2,NUMBER,133398.0
2011,_L_KG_010301_1F2,NUMBER,142897.0
2012,_L_KG_010301_1F2,NUMBER,150206.0
2013,_L_KG_010301_1F2,NUMBER,162967.0
2014,_L_KG_010301_1F2,NUMBER,168679.0
2015,_L_KG_010301_1F2,NUMBER,174693.0
2016,_L_KG_010301_1F2,NUMBER,178944.0
2017,_L_KG_010301_1F2,NUMBER,183330.0
2018,_L_KG_010301_1F2,NUMBER,187313.0
2019,_L_KG_010301_1F2,NUMBER,194364.0
2020,_L_KG_010301_1F2,NUMBER,197792.0
2021,_L_KG_010301_1F2,NUMBER,202551.0
2022,_L_KG_010301_1F2,NUMBER,211650.0
2007,_L_KG_010301_1F1,PT,2.190749
2008,_L_KG_010301_1F1,PT,2.273953
2009,_L_KG_010301_1F1,PT,2.326232
2010,_L_KG_010301_1F1,PT,2.46199
2011,_L_KG_010301_1F1,PT,2.608742
2012,_L_KG_010301_1F1,PT,2.705494
2013,_L_KG_010301_1F1,PT,2.821172
2014,_L_KG_010301_1F1,PT,2.861361
2015,_L_KG_010301_1F1,PT,2.902128
2016,_L_KG_010301_1F1,PT,2.914302
2017,_L_KG_010301_1F1,PT,2.930125
2018,_L_KG_010301_1F1,PT,2.931575
2019,_L_KG_010301_1F1,PT,2.931575
2020,_L_KG_010301_1F1,PT,2.97943
2021,_L_KG_010301_1F1,PT,2.97943
2022,_L_KG_010301_1F1,PT,2.97943
