Year,SERIES,COMPOSITE_BREAKDOWN,Value
2015,_L_KG_150301_1B,,1280.6
2016,_L_KG_150301_1B,,1280.6
2017,_L_KG_150301_1B,,1287.9
2018,_L_KG_150301_1B,,1287.8
2019,_L_KG_150301_1B,,1287.6
2020,_L_KG_150301_1B,,1287.4
2021,_L_KG_150301_1B,,1287.3
2022,_L_KG_150301_1B,,1286.4
2015,_L_KG_150301_1A,,90.0
2016,_L_KG_150301_1A,,81.9
2017,_L_KG_150301_1A,,74.8
2018,_L_KG_150301_1A,,67.3
2019,_L_KG_150301_1A,,63.3
2020,_L_KG_150301_1A,,56.6
2021,_L_KG_150301_1A,,53.7
2022,_L_KG_150301_1A,,48.8
2015,_L_KG_150301_1A,_L_CSE_SALIN_WAT,5.0
2016,_L_KG_150301_1A,_L_CSE_SALIN_WAT,3.8
2017,_L_KG_150301_1A,_L_CSE_SALIN_WAT,3.3
2018,_L_KG_150301_1A,_L_CSE_SALIN_WAT,3.1
2019,_L_KG_150301_1A,_L_CSE_SALIN_WAT,2.8
2020,_L_KG_150301_1A,_L_CSE_SALIN_WAT,2.5
2021,_L_KG_150301_1A,_L_CSE_SALIN_WAT,2.2
2022,_L_KG_150301_1A,_L_CSE_SALIN_WAT,1.7
2015,_L_KG_150301_1A,_L_CSE_LACK_IRR,13.8
2016,_L_KG_150301_1A,_L_CSE_LACK_IRR,14.0
2017,_L_KG_150301_1A,_L_CSE_LACK_IRR,12.0
2018,_L_KG_150301_1A,_L_CSE_LACK_IRR,11.8
2019,_L_KG_150301_1A,_L_CSE_LACK_IRR,11.1
2020,_L_KG_150301_1A,_L_CSE_LACK_IRR,9.3
2021,_L_KG_150301_1A,_L_CSE_LACK_IRR,8.5
2022,_L_KG_150301_1A,_L_CSE_LACK_IRR,7.4
2015,_L_KG_150301_1A,_L_CSE_NAT_DIS,0.4
2016,_L_KG_150301_1A,_L_CSE_NAT_DIS,0.4
2017,_L_KG_150301_1A,_L_CSE_NAT_DIS,1.0
2018,_L_KG_150301_1A,_L_CSE_NAT_DIS,1.5
2019,_L_KG_150301_1A,_L_CSE_NAT_DIS,0.5
2020,_L_KG_150301_1A,_L_CSE_NAT_DIS,0.9
2021,_L_KG_150301_1A,_L_CSE_NAT_DIS,1.0
2022,_L_KG_150301_1A,_L_CSE_NAT_DIS,0.7
2015,_L_KG_150301_1A,_L_CSE_ECON_INEX,44.4
2016,_L_KG_150301_1A,_L_CSE_ECON_INEX,40.2
2017,_L_KG_150301_1A,_L_CSE_ECON_INEX,36.5
2018,_L_KG_150301_1A,_L_CSE_ECON_INEX,31.5
2019,_L_KG_150301_1A,_L_CSE_ECON_INEX,31.7
2020,_L_KG_150301_1A,_L_CSE_ECON_INEX,27.2
2021,_L_KG_150301_1A,_L_CSE_ECON_INEX,26.2
2022,_L_KG_150301_1A,_L_CSE_ECON_INEX,22.0
2015,_L_KG_150301_1A,_L_CSE_REM_STON,16.5
2016,_L_KG_150301_1A,_L_CSE_REM_STON,15.1
2017,_L_KG_150301_1A,_L_CSE_REM_STON,13.7
2018,_L_KG_150301_1A,_L_CSE_REM_STON,11.6
2019,_L_KG_150301_1A,_L_CSE_REM_STON,10.2
2020,_L_KG_150301_1A,_L_CSE_REM_STON,9.4
2021,_L_KG_150301_1A,_L_CSE_REM_STON,8.4
2022,_L_KG_150301_1A,_L_CSE_REM_STON,7.2
2015,_L_KG_150301_1A,_L_CSE_OTH_REAS,9.9
2016,_L_KG_150301_1A,_L_CSE_OTH_REAS,8.4
2017,_L_KG_150301_1A,_L_CSE_OTH_REAS,8.26
2018,_L_KG_150301_1A,_L_CSE_OTH_REAS,7.7
2019,_L_KG_150301_1A,_L_CSE_OTH_REAS,7.0
2020,_L_KG_150301_1A,_L_CSE_OTH_REAS,7.3
2021,_L_KG_150301_1A,_L_CSE_OTH_REAS,7.4
2022,_L_KG_150301_1A,_L_CSE_OTH_REAS,9.8
