Year,REF_AREA,GeoCode,Value
2007,,,12.682241
2008,,,11.85677
2009,,,11.505973
2010,,,10.442468
2011,,,11.743119
2012,,,11.831386
2013,,,12.209281
2014,,,11.581086
2015,,,10.209622
2016,,,10.170663
2017,,,9.727135
2018,,,20.734908
2019,,,8.555572
2020,,,4.46317
2021,,,6.515986
2022,,,4.953876
2007,KG05,KG05,14.521452
2008,KG05,KG05,16.4
2009,KG05,KG05,14.425428
2010,KG05,KG05,14.469914
2011,KG05,KG05,13.604488
2012,KG05,KG05,11.659808
2013,KG05,KG05,10.513141
2014,KG05,KG05,10.607867
2015,KG05,KG05,9.737418
2016,KG05,KG05,9.543011
2017,KG05,KG05,7.394366
2018,KG05,KG05,16.6215
2019,KG05,KG05,7.560756
2020,KG05,KG05,22.107244
2021,KG05,KG05,25.411969
2022,KG05,KG05,11.304955
2007,KG03,KG03,11.271676
2008,KG03,KG03,11.738535
2009,KG03,KG03,10.985825
2010,KG03,KG03,9.550419
2011,KG03,KG03,13.407222
2012,KG03,KG03,13.228863
2013,KG03,KG03,14.223455
2014,KG03,KG03,13.31045
2015,KG03,KG03,12.970219
2016,KG03,KG03,11.583637
2017,KG03,KG03,10.880196
2018,KG03,KG03,14.846672
2019,KG03,KG03,18.242711
2020,KG03,KG03,4.846939
2021,KG03,KG03,4.535997
2022,KG03,KG03,5.159332
2007,KG02,KG02,8.540686
2008,KG02,KG02,8.259986
2009,KG02,KG02,9.315589
2010,KG02,KG02,8.22112
2011,KG02,KG02,8.420239
2012,KG02,KG02,8.84919
2013,KG02,KG02,9.235528
2014,KG02,KG02,9.274194
2015,KG02,KG02,9.147425
2016,KG02,KG02,10.567515
2017,KG02,KG02,10.426321
2018,KG02,KG02,15.030146
2019,KG02,KG02,10.464548
2020,KG02,KG02,11.270913
2021,KG02,KG02,9.213483
2022,KG02,KG02,13.687943
2007,KG04,KG04,10.864198
2008,KG04,KG04,9.78836
2009,KG04,KG04,11.829436
2010,KG04,KG04,11.290323
2011,KG04,KG04,12.066574
2012,KG04,KG04,15.660685
2013,KG04,KG04,16.021127
2014,KG04,KG04,15.99297
2015,KG04,KG04,13.204509
2016,KG04,KG04,8.777429
2017,KG04,KG04,6.107955
2018,KG04,KG04,16.91678
2019,KG04,KG04,11.142322
2020,KG04,KG04,8.266361
2021,KG04,KG04,12.204234
2022,KG04,KG04,10.22864
2007,KG06,KG06,16.491228
2008,KG06,KG06,15.367483
2009,KG06,KG06,13.901531
2010,KG06,KG06,9.337676
2011,KG06,KG06,15.801457
2012,KG06,KG06,15.308989
2013,KG06,KG06,13.977567
2014,KG06,KG06,13.731473
2015,KG06,KG06,12.995781
2016,KG06,KG06,13.668061
2017,KG06,KG06,13.422509
2018,KG06,KG06,18.432574
2019,KG06,KG06,4.635762
2020,KG06,KG06,9.016038
2021,KG06,KG06,9.403762
2022,KG06,KG06,9.12137
2007,KG07,KG07,14.364035
2008,KG07,KG07,10.358566
2009,KG07,KG07,9.846154
2010,KG07,KG07,12.527233
2011,KG07,KG07,12.529002
2012,KG07,KG07,12.204234
2013,KG07,KG07,12.035851
2014,KG07,KG07,10.376135
2015,KG07,KG07,10.504775
2016,KG07,KG07,5.898876
2017,KG07,KG07,5.3125
2018,KG07,KG07,10.169492
2019,KG07,KG07,21.302578
2020,KG07,KG07,2.762431
2021,KG07,KG07,5.65371
2022,KG07,KG07,3.133515
2007,KG08,KG08,5.955414
2008,KG08,KG08,5.909974
2009,KG08,KG08,6.102396
2010,KG08,KG08,5.576827
2011,KG08,KG08,5.305596
2012,KG08,KG08,5.752841
2013,KG08,KG08,5.859081
2014,KG08,KG08,5.610561
2015,KG08,KG08,4.5309
2016,KG08,KG08,5.81876
2017,KG08,KG08,6.0367
2018,KG08,KG08,10.008187
2019,KG08,KG08,4.92865
2020,KG08,KG08,1.140882
2021,KG08,KG08,1.598402
2022,KG08,KG08,2.872905
2007,KG11,KG11,17.506545
2008,KG11,KG11,15.300865
2009,KG11,KG11,14.217706
2010,KG11,KG11,15.744136
2011,KG11,KG11,14.394252
2012,KG11,KG11,14.448038
2013,KG11,KG11,15.28626
2014,KG11,KG11,14.864036
2015,KG11,KG11,12.481577
2016,KG11,KG11,12.093526
2017,KG11,KG11,11.219696
2018,KG11,KG11,27.432647
2019,KG11,KG11,8.179524
2020,KG11,KG11,1.754111
2021,KG11,KG11,6.28818
2022,KG11,KG11,3.527842
2007,KG21,KG21,14.014055
2008,KG21,KG21,13.525773
2009,KG21,KG21,12.5
2010,KG21,KG21,5.6182
2011,KG21,KG21,12.006861
2012,KG21,KG21,10.845431
2013,KG21,KG21,11.443015
2014,KG21,KG21,9.732748
2015,KG21,KG21,9.389671
2016,KG21,KG21,10.341767
2017,KG21,KG21,10.013292
2018,KG21,KG21,27.852349
2019,KG21,KG21,13.356461
2020,KG21,KG21,3.628823
2021,KG21,KG21,8.12611
2022,KG21,KG21,5.030532
