Year,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,GeoCode,Value
2018,,Y15T49,,,,,,7.7
2018,,Y15T49,U,,,,,7.9
2018,,Y15T49,R,,,,,7.6
2018,KG05,Y15T49,,,,,KG05,0.4
2018,KG03,Y15T49,,,,,KG03,7.3
2018,KG02,Y15T49,,,,,KG02,1.7
2018,KG04,Y15T49,,,,,KG04,2.8
2018,KG06,Y15T49,,,,,KG06,6.5
2018,KG07,Y15T49,,,,,KG07,50.0
2018,KG08,Y15T49,,,,,KG08,166.0
2018,KG11,Y15T49,,,,,KG11,87.0
2018,KG21,Y15T49,,,,,KG21,70.0
2018,,Y15T19,,,,,,65.0
2018,,Y15T17,,,,,,57.0
2018,,Y18T19,,,,,,83.0
2018,,Y20T24,,,,,,91.0
2018,,Y25T29,,,,,,71.0
2018,,Y30T34,,,,,,88.0
2018,,Y35T39,,,,,,87.0
2018,,Y40T44,,,,,,64.0
2018,,Y45T49,,,,,,70.0
2018,,Y15T49,,,ISCED11_2,,,140.0
2018,,Y15T49,,,ISCED11_3,,,59.0
2018,,Y15T49,,,ISCED11_4,,,69.0
2018,,Y15T49,,,ISCED11_6_7,,,82.0
2018,,Y18T49,,,,PD,,207.0
2018,,Y18T49,,,,PWD,,76.0
2018,,Y15T49,,Q1,,,,60.0
2018,,Y15T49,,Q2,,,,67.0
2018,,Y15T49,,Q3,,,,97.0
2018,,Y15T49,,Q4,,,,71.0
2018,,Y15T49,,Q5,,,,88.0
