Year,REF_AREA,SEX,GeoCode,Value
2007,,,,115.478276
2008,,,,106.340082
2009,,,,103.932976
2010,,,,101.138775
2011,,,,100.367124
2012,,,,104.342194
2013,,,,102.43272
2014,,,,101.065558
2015,,,,98.249685
2016,,,,93.423511
2017,,,,90.6
2018,,,,83.012882
2019,,,,78.928029
2020,,,,53.463697
2021,,,,58.143497
2022,,,,57.890664
2007,,F,,91.061332
2008,,F,,85.809103
2009,,F,,85.417204
2010,,F,,84.9
2011,,F,,81.94725
2012,,F,,85.223608
2013,,F,,87.8
2014,,F,,88.7
2015,,F,,83.7
2016,,F,,81.7
2017,,F,,77.7
2018,,F,,69.02199
2019,,F,,66.863517
2020,,F,,46.052047
2021,,F,,50.405858
2022,,F,,50.022743
2007,,M,,140.46199
2008,,M,,127.338423
2009,,M,,122.936319
2010,,M,,117.8
2011,,M,,119.256007
2012,,M,,123.922984
2013,,M,,117.4
2014,,M,,113.7
2015,,M,,113.1
2016,,M,,105.3
2017,,M,,103.8
2018,,M,,97.234292
2019,,M,,91.178105
2020,,M,,60.767053
2021,,M,,65.99579
2022,,M,,65.935557
2007,KG05,,KG05,80.315042
2008,KG05,,KG05,81.679899
2009,KG05,,KG05,82.704723
2010,KG05,,KG05,81.83755
2011,KG05,,KG05,78.880836
2012,KG05,,KG05,90.334237
2013,KG05,,KG05,90.032265
2014,KG05,,KG05,86.073371
2015,KG05,,KG05,72.743563
2016,KG05,,KG05,67.061001
2017,KG05,,KG05,70.8
2018,KG05,,KG05,64.887679
2019,KG05,,KG05,55.906409
2020,KG05,,KG05,46.609654
2021,KG05,,KG05,47.339416
2022,KG05,,KG05,41.756313
2007,KG05,F,KG05,70.837249
2008,KG05,F,KG05,67.323067
2009,KG05,F,KG05,81.332337
2010,KG05,F,KG05,62.3
2011,KG05,F,KG05,63.9
2012,KG05,F,KG05,79.7
2013,KG05,F,KG05,81.0
2014,KG05,F,KG05,78.8
2015,KG05,F,KG05,63.1
2016,KG05,F,KG05,66.6
2017,KG05,F,KG05,65.7
2018,KG05,F,KG05,60.420827
2019,KG05,F,KG05,45.279254
2020,KG05,F,KG05,39.785592
2021,KG05,F,KG05,44.184574
2022,KG05,F,KG05,37.159845
2007,KG05,M,KG05,89.745096
2008,KG05,M,KG05,95.98673
2009,KG05,M,KG05,84.03016
2010,KG05,M,KG05,100.8
2011,KG05,M,KG05,93.4
2012,KG05,M,KG05,100.7
2013,KG05,M,KG05,98.8
2014,KG05,M,KG05,93.2
2015,KG05,M,KG05,82.0
2016,KG05,M,KG05,67.5
2017,KG05,M,KG05,75.7
2018,KG05,M,KG05,69.192377
2019,KG05,M,KG05,66.139521
2020,KG05,M,KG05,53.693997
2021,KG05,M,KG05,50.379264
2022,KG05,M,KG05,46.265141
2007,KG03,,KG03,91.916186
2008,KG03,,KG03,88.339312
2009,KG03,,KG03,87.787489
2010,KG03,,KG03,85.931674
2011,KG03,,KG03,82.549369
2012,KG03,,KG03,86.910818
2013,KG03,,KG03,80.886516
2014,KG03,,KG03,85.34428
2015,KG03,,KG03,76.512241
2016,KG03,,KG03,84.915163
2017,KG03,,KG03,80.2
2018,KG03,,KG03,73.346827
2019,KG03,,KG03,68.97159
2020,KG03,,KG03,49.13246
2021,KG03,,KG03,54.819948
2022,KG03,,KG03,54.165138
2007,KG03,F,KG03,75.21801
2008,KG03,F,KG03,71.207543
2009,KG03,F,KG03,71.790057
2010,KG03,F,KG03,74.3
2011,KG03,F,KG03,72.983333
2012,KG03,F,KG03,75.789204
2013,KG03,F,KG03,74.3
2014,KG03,F,KG03,81.8
2015,KG03,F,KG03,66.2
2016,KG03,F,KG03,79.5
2017,KG03,F,KG03,72.8
2018,KG03,F,KG03,64.089585
2019,KG03,F,KG03,67.445158
2020,KG03,F,KG03,42.132308
2021,KG03,F,KG03,47.67992
2022,KG03,F,KG03,47.516379
2007,KG03,M,KG03,108.757553
2008,KG03,M,KG03,105.621764
2009,KG03,M,KG03,103.75711
2010,KG03,M,KG03,97.6
2011,KG03,M,KG03,92.090531
2012,KG03,M,KG03,97.991089
2013,KG03,M,KG03,87.5
2014,KG03,M,KG03,88.8
2015,KG03,M,KG03,86.7
2016,KG03,M,KG03,90.3
2017,KG03,M,KG03,87.5
