Year,SERIES,Value
2007,SG_GEN_PARL,25.6
2008,SG_GEN_PARL,25.6
2009,SG_GEN_PARL,25.6
2010,SG_GEN_PARL,23.5
2011,SG_GEN_PARL,20.8
2012,SG_GEN_PARL,20.8
2013,SG_GEN_PARL,22.5
2014,SG_GEN_PARL,21.7
2015,SG_GEN_PARL,21.7
2016,SG_GEN_PARL,15.8
2017,SG_GEN_PARL,16.7
2018,SG_GEN_PARL,15.8
2019,SG_GEN_PARL,16.7
2020,SG_GEN_PARL,16.7
2021,SG_GEN_PARL,20.5
2022,SG_GEN_PARL,21.1
2016,SG_GEN_LOCG,15.61
2017,SG_GEN_LOCG,15.09
2018,SG_GEN_LOCG,14.96
2019,SG_GEN_LOCG,15.16
2020,SG_GEN_LOCG,14.98
2021,SG_GEN_LOCG,31.55
2022,SG_GEN_LOCG,36.46
