Year,UNIT_MULT,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2007,6,IS_RDP_PFVOL,,P_KM,7037.4
2008,6,IS_RDP_PFVOL,,P_KM,7541.0
2009,6,IS_RDP_PFVOL,,P_KM,7834.7
2010,6,IS_RDP_PFVOL,,P_KM,8122.4
2011,6,IS_RDP_PFVOL,,P_KM,8862.6
2012,6,IS_RDP_PFVOL,,P_KM,9620.7
2013,6,IS_RDP_PFVOL,,P_KM,10378.1
2014,6,IS_RDP_PFVOL,,P_KM,10776.8
2015,6,IS_RDP_PFVOL,,P_KM,11012.5
2016,6,IS_RDP_PFVOL,,P_KM,11333.6
2017,6,IS_RDP_PFVOL,,P_KM,12279.3
2018,6,IS_RDP_PFVOL,,P_KM,12516.2
2019,6,IS_RDP_PFVOL,,P_KM,13135.1
2020,6,IS_RDP_PFVOL,,P_KM,7381.8
2021,6,IS_RDP_PFVOL,,P_KM,9090.7
2022,6,IS_RDP_PFVOL,,P_KM,10444.2
2023,6,IS_RDP_PFVOL,,P_KM,11350.7
2007,6,IS_RDP_PFVOL,MOT_RAI,P_KM,59.9
2008,6,IS_RDP_PFVOL,MOT_RAI,P_KM,90.2
2009,6,IS_RDP_PFVOL,MOT_RAI,P_KM,106.1
2010,6,IS_RDP_PFVOL,MOT_RAI,P_KM,98.7
2011,6,IS_RDP_PFVOL,MOT_RAI,P_KM,82.8
2012,6,IS_RDP_PFVOL,MOT_RAI,P_KM,75.8
2013,6,IS_RDP_PFVOL,MOT_RAI,P_KM,55.5
2014,6,IS_RDP_PFVOL,MOT_RAI,P_KM,42.9
2015,6,IS_RDP_PFVOL,MOT_RAI,P_KM,40.8
2016,6,IS_RDP_PFVOL,MOT_RAI,P_KM,40.8
2017,6,IS_RDP_PFVOL,MOT_RAI,P_KM,43.4
2018,6,IS_RDP_PFVOL,MOT_RAI,P_KM,35.0
2019,6,IS_RDP_PFVOL,MOT_RAI,P_KM,37.1
2020,6,IS_RDP_PFVOL,MOT_RAI,P_KM,6.8
2021,6,IS_RDP_PFVOL,MOT_RAI,P_KM,21.0
2022,6,IS_RDP_PFVOL,MOT_RAI,P_KM,21.7
2023,6,IS_RDP_PFVOL,MOT_RAI,P_KM,21.6
2007,6,IS_RDP_PFVOL,MOT_BUS,P_KM,6162.6
2008,6,IS_RDP_PFVOL,MOT_BUS,P_KM,6508.6
2009,6,IS_RDP_PFVOL,MOT_BUS,P_KM,6806.8
2010,6,IS_RDP_PFVOL,MOT_BUS,P_KM,6810.0
2011,6,IS_RDP_PFVOL,MOT_BUS,P_KM,6925.5
2012,6,IS_RDP_PFVOL,MOT_BUS,P_KM,7466.2
2013,6,IS_RDP_PFVOL,MOT_BUS,P_KM,7717.7
2014,6,IS_RDP_PFVOL,MOT_BUS,P_KM,8000.0
2015,6,IS_RDP_PFVOL,MOT_BUS,P_KM,8410.4
2016,6,IS_RDP_PFVOL,MOT_BUS,P_KM,8839.3
2017,6,IS_RDP_PFVOL,MOT_BUS,P_KM,8931.5
2018,6,IS_RDP_PFVOL,MOT_BUS,P_KM,9305.6
2019,6,IS_RDP_PFVOL,MOT_BUS,P_KM,10490.2
2020,6,IS_RDP_PFVOL,MOT_BUS,P_KM,6035.6
