Year,SERIES,COMPOSITE_BREAKDOWN,Value
2013,_L_KG_010B01_11,_L_COFOG_T,86.5
2014,_L_KG_010B01_11,_L_COFOG_T,80.2
2015,_L_KG_010B01_11,_L_COFOG_T,81.8
2016,_L_KG_010B01_11,_L_COFOG_T,80.0
2017,_L_KG_010B01_11,_L_COFOG_T,78.4
2018,_L_KG_010B01_11,_L_COFOG_T,88.7
2019,_L_KG_010B01_11,_L_COFOG_T,81.1
2020,_L_KG_010B01_11,_L_COFOG_T,85.8
2021,_L_KG_010B01_11,_L_COFOG_T,78.1
2022,_L_KG_010B01_11,_L_COFOG_T,72.2
2023,_L_KG_010B01_11,_L_COFOG_T,75.7
2013,_L_KG_010B01_12,_L_COFOG_T,13.5
2014,_L_KG_010B01_12,_L_COFOG_T,19.8
2015,_L_KG_010B01_12,_L_COFOG_T,18.2
2016,_L_KG_010B01_12,_L_COFOG_T,20.0
2017,_L_KG_010B01_12,_L_COFOG_T,21.6
2018,_L_KG_010B01_12,_L_COFOG_T,11.3
2019,_L_KG_010B01_12,_L_COFOG_T,18.9
2020,_L_KG_010B01_12,_L_COFOG_T,14.2
2021,_L_KG_010B01_12,_L_COFOG_T,21.9
2022,_L_KG_010B01_12,_L_COFOG_T,27.8
2023,_L_KG_010B01_12,_L_COFOG_T,24.3
2013,_L_KG_010B01_11,_L_COFOG_GF04,29.3
2014,_L_KG_010B01_11,_L_COFOG_GF04,24.5
2015,_L_KG_010B01_11,_L_COFOG_GF04,29.2
2016,_L_KG_010B01_11,_L_COFOG_GF04,32.1
2017,_L_KG_010B01_11,_L_COFOG_GF04,24.0
2018,_L_KG_010B01_11,_L_COFOG_GF04,41.5
2019,_L_KG_010B01_11,_L_COFOG_GF04,22.8
2020,_L_KG_010B01_11,_L_COFOG_GF04,25.6
2021,_L_KG_010B01_11,_L_COFOG_GF04,24.2
2022,_L_KG_010B01_11,_L_COFOG_GF04,21.4
2023,_L_KG_010B01_11,_L_COFOG_GF04,31.1
2013,_L_KG_010B01_12,_L_COFOG_GF04,70.7
2014,_L_KG_010B01_12,_L_COFOG_GF04,75.5
2015,_L_KG_010B01_12,_L_COFOG_GF04,70.8
2016,_L_KG_010B01_12,_L_COFOG_GF04,67.9
2017,_L_KG_010B01_12,_L_COFOG_GF04,76.0
2018,_L_KG_010B01_12,_L_COFOG_GF04,58.5
2019,_L_KG_010B01_12,_L_COFOG_GF04,77.2
2020,_L_KG_010B01_12,_L_COFOG_GF04,74.4
2021,_L_KG_010B01_12,_L_COFOG_GF04,75.8
2022,_L_KG_010B01_12,_L_COFOG_GF04,78.6
2023,_L_KG_010B01_12,_L_COFOG_GF04,68.9
2013,_L_KG_010B01_11,_L_COFOG_GF07,96.5
2014,_L_KG_010B01_11,_L_COFOG_GF07,97.6
2015,_L_KG_010B01_11,_L_COFOG_GF07,97.6
2016,_L_KG_010B01_11,_L_COFOG_GF07,98.6
2017,_L_KG_010B01_11,_L_COFOG_GF07,94.2
2018,_L_KG_010B01_11,_L_COFOG_GF07,95.5
2019,_L_KG_010B01_11,_L_COFOG_GF07,84.4
2020,_L_KG_010B01_11,_L_COFOG_GF07,72.7
2021,_L_KG_010B01_11,_L_COFOG_GF07,73.3
2022,_L_KG_010B01_11,_L_COFOG_GF07,72.8
2023,_L_KG_010B01_11,_L_COFOG_GF07,76.7
2013,_L_KG_010B01_12,_L_COFOG_GF07,3.5
2014,_L_KG_010B01_12,_L_COFOG_GF07,2.4
2015,_L_KG_010B01_12,_L_COFOG_GF07,2.4
2016,_L_KG_010B01_12,_L_COFOG_GF07,1.4
2017,_L_KG_010B01_12,_L_COFOG_GF07,5.8
2018,_L_KG_010B01_12,_L_COFOG_GF07,4.5
2019,_L_KG_010B01_12,_L_COFOG_GF07,15.6
2020,_L_KG_010B01_12,_L_COFOG_GF07,27.3
2021,_L_KG_010B01_12,_L_COFOG_GF07,26.7
2022,_L_KG_010B01_12,_L_COFOG_GF07,27.2
2023,_L_KG_010B01_12,_L_COFOG_GF07,23.3
2013,_L_KG_010B01_11,_L_COFOG_GF09,92.2
2014,_L_KG_010B01_11,_L_COFOG_GF09,89.6
2015,_L_KG_010B01_11,_L_COFOG_GF09,90.6
2016,_L_KG_010B01_11,_L_COFOG_GF09,84.8
2017,_L_KG_010B01_11,_L_COFOG_GF09,90.4
2018,_L_KG_010B01_11,_L_COFOG_GF09,91.6
2019,_L_KG_010B01_11,_L_COFOG_GF09,90.3
2020,_L_KG_010B01_11,_L_COFOG_GF09,93.4
2021,_L_KG_010B01_11,_L_COFOG_GF09,90.5
2022,_L_KG_010B01_11,_L_COFOG_GF09,87.8
2023,_L_KG_010B01_11,_L_COFOG_GF09,89.0
2013,_L_KG_010B01_12,_L_COFOG_GF09,7.8
2014,_L_KG_010B01_12,_L_COFOG_GF09,10.4
2015,_L_KG_010B01_12,_L_COFOG_GF09,9.4
2016,_L_KG_010B01_12,_L_COFOG_GF09,15.2
2017,_L_KG_010B01_12,_L_COFOG_GF09,9.6
2018,_L_KG_010B01_12,_L_COFOG_GF09,8.4
2019,_L_KG_010B01_12,_L_COFOG_GF09,9.7
2020,_L_KG_010B01_12,_L_COFOG_GF09,6.6
2021,_L_KG_010B01_12,_L_COFOG_GF09,9.5
2022,_L_KG_010B01_12,_L_COFOG_GF09,12.2
2023,_L_KG_010B01_12,_L_COFOG_GF09,11.0
2013,_L_KG_010B01_11,_L_COFOG_GF06,94.3
2014,_L_KG_010B01_11,_L_COFOG_GF06,89.4
2015,_L_KG_010B01_11,_L_COFOG_GF06,91.7
2016,_L_KG_010B01_11,_L_COFOG_GF06,99.4
2017,_L_KG_010B01_11,_L_COFOG_GF06,90.1
2018,_L_KG_010B01_11,_L_COFOG_GF06,95.1
2019,_L_KG_010B01_11,_L_COFOG_GF06,60.2
2020,_L_KG_010B01_11,_L_COFOG_GF06,66.0
2021,_L_KG_010B01_11,_L_COFOG_GF06,59.3
2022,_L_KG_010B01_11,_L_COFOG_GF06,44.9
2023,_L_KG_010B01_11,_L_COFOG_GF06,48.3
2013,_L_KG_010B01_12,_L_COFOG_GF06,5.7
2014,_L_KG_010B01_12,_L_COFOG_GF06,10.6
2015,_L_KG_010B01_12,_L_COFOG_GF06,8.3
2016,_L_KG_010B01_12,_L_COFOG_GF06,0.6
2017,_L_KG_010B01_12,_L_COFOG_GF06,9.9
2018,_L_KG_010B01_12,_L_COFOG_GF06,4.9
2019,_L_KG_010B01_12,_L_COFOG_GF06,39.8
2020,_L_KG_010B01_12,_L_COFOG_GF06,34.0
2021,_L_KG_010B01_12,_L_COFOG_GF06,40.7
2022,_L_KG_010B01_12,_L_COFOG_GF06,55.1
2023,_L_KG_010B01_12,_L_COFOG_GF06,51.7
