Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2014,VC_IHR_PSRC,,,,PER_100000_POP,,54
2015,VC_IHR_PSRC,,,,PER_100000_POP,,50
2016,VC_IHR_PSRC,,,,PER_100000_POP,,43
2017,VC_IHR_PSRC,,,,PER_100000_POP,,40
2018,VC_IHR_PSRC,,,,PER_100000_POP,,31
2019,VC_IHR_PSRC,,,,PER_100000_POP,,26
2020,VC_IHR_PSRC,,,,PER_100000_POP,,25
2021,VC_IHR_PSRC,,,,PER_100000_POP,,26
2022,VC_IHR_PSRC,,,,PER_100000_POP,,27
2023,VC_IHR_PSRC,,,,PER_100000_POP,,15
2014,VC_IHR_PSRCN,,,,NUMBER,,320
2015,VC_IHR_PSRCN,,,,NUMBER,,305
2016,VC_IHR_PSRCN,,,,NUMBER,,267
2017,VC_IHR_PSRCN,,,,NUMBER,,256
2018,VC_IHR_PSRCN,,,,NUMBER,,203
2019,VC_IHR_PSRCN,,,,NUMBER,,174
2020,VC_IHR_PSRCN,,,,NUMBER,,172
2021,VC_IHR_PSRCN,,,,NUMBER,,182
2022,VC_IHR_PSRCN,,,,NUMBER,,191
2023,VC_IHR_PSRCN,,,,NUMBER,,106
2014,VC_IHR_PSRC,,M,,PER_100000_POP,,76
2015,VC_IHR_PSRC,,M,,PER_100000_POP,,75
2016,VC_IHR_PSRC,,M,,PER_100000_POP,,65
2017,VC_IHR_PSRC,,M,,PER_100000_POP,,62
2018,VC_IHR_PSRC,,M,,PER_100000_POP,,50
2019,VC_IHR_PSRC,,M,,PER_100000_POP,,40
2020,VC_IHR_PSRC,,M,,PER_100000_POP,,40
2021,VC_IHR_PSRC,,M,,PER_100000_POP,,42
2022,VC_IHR_PSRC,,M,,PER_100000_POP,,43
2023,VC_IHR_PSRC,,M,,PER_100000_POP,,24
2014,VC_IHR_PSRC,,F,,PER_100000_POP,,31
2015,VC_IHR_PSRC,,F,,PER_100000_POP,,26
2016,VC_IHR_PSRC,,F,,PER_100000_POP,,21
2017,VC_IHR_PSRC,,F,,PER_100000_POP,,19
2018,VC_IHR_PSRC,,F,,PER_100000_POP,,12
2019,VC_IHR_PSRC,,F,,PER_100000_POP,,13
2020,VC_IHR_PSRC,,F,,PER_100000_POP,,11
2021,VC_IHR_PSRC,,F,,PER_100000_POP,,11
2022,VC_IHR_PSRC,,F,,PER_100000_POP,,12
2023,VC_IHR_PSRC,,F,,PER_100000_POP,,6
2014,VC_IHR_PSRCN,,M,,NUMBER,,225
2015,VC_IHR_PSRCN,,M,,NUMBER,,226
2016,VC_IHR_PSRCN,,M,,NUMBER,,202
2017,VC_IHR_PSRCN,,M,,NUMBER,,194
2018,VC_IHR_PSRCN,,M,,NUMBER,,162
2019,VC_IHR_PSRCN,,M,,NUMBER,,131
2020,VC_IHR_PSRCN,,M,,NUMBER,,135
2021,VC_IHR_PSRCN,,M,,NUMBER,,144
2022,VC_IHR_PSRCN,,M,,NUMBER,,148
2023,VC_IHR_PSRCN,,M,,NUMBER,,85
2014,VC_IHR_PSRCN,,F,,NUMBER,,95
2015,VC_IHR_PSRCN,,F,,NUMBER,,79
2016,VC_IHR_PSRCN,,F,,NUMBER,,65
