Year,REF_AREA,AGE,URBANISATION,EDUCATION_LEV,GeoCode,Value
2018,,,,,,2.2
2023,,,,,,1.0
2018,,,U,,,2.5
2023,,,U,,,1.6
2018,,,R,,,2.1
2023,,,R,,,0.7
2018,KG05,,,,KG05,0.0
2023,KG05,,,,KG05,0.5
2018,KG03,,,,KG03,0.9
2023,KG03,,,,KG03,0.4
2018,KG02,,,,KG02,0.7
2023,KG02,,,,KG02,0.7
2018,KG04,,,,KG04,1.7
2023,KG04,,,,KG04,0.7
2018,KG06,,,,KG06,1.1
2023,KG06,,,,KG06,0.3
2018,KG07,,,,KG07,1.2
2023,KG07,,,,KG07,0.2
2018,KG08,,,,KG08,6.3
2023,KG08,,,,KG08,1.7
2018,KG11,,,,KG11,3.1
2023,KG11,,,,KG11,1.9
2018,KG21,,,,KG21,1.7
2023,KG21,,,,KG21,3.0
2018,,Y15T19,,,,1.7
2023,,Y15T19,,,,0.7
2018,,Y15T17,,,,1.1
2023,,Y15T17,,,,0.5
2018,,Y18T19,,,,3.0
2023,,Y18T19,,,,1.2
2018,,Y20T24,,,,2.3
2023,,Y20T24,,,,1.2
2018,,Y25T29,,,,2.6
2023,,Y25T29,,,,0.2
2018,,Y30T34,,,,2.3
2023,,Y30T34,,,,1.9
2018,,Y35T39,,,,2.4
2023,,Y35T39,,,,0.9
2018,,Y40T44,,,,2.3
2023,,Y40T44,,,,1.1
2018,,Y45T49,,,,1.9
2023,,Y45T49,,,,0.8
2018,,,,ISCED11_2,,2.3
2023,,,,ISCED11_2,,0.9
2018,,,,ISCED11_3,,1.2
2023,,,,ISCED11_3,,0.8
2018,,,,ISCED11_4,,2.7
2023,,,,ISCED11_4,,1.0
2018,,,,ISCED11_6_7,,3.3
2023,,,,ISCED11_6_7,,1.4
