Year,NATURE,SERIES,DATA_LAST_UPDATE,Value
2016,G,IQ_SPI_PIL4,2025-05-19T00:00:00,60.65
2017,G,IQ_SPI_PIL4,2025-05-19T00:00:00,58.65
2018,G,IQ_SPI_PIL4,2025-05-19T00:00:00,60.575
2019,G,IQ_SPI_PIL4,2025-05-19T00:00:00,60.575
2020,G,IQ_SPI_PIL4,2025-05-19T00:00:00,56.38333
2021,G,IQ_SPI_PIL4,2025-05-19T00:00:00,64.71667
2022,G,IQ_SPI_PIL4,2025-05-19T00:00:00,70.78333
2023,G,IQ_SPI_PIL4,2025-05-19T00:00:00,66.61667
2016,G,IQ_SPI_PIL5,2025-05-19T00:00:00,85.0
2017,G,IQ_SPI_PIL5,2025-05-19T00:00:00,85.0
2018,G,IQ_SPI_PIL5,2025-05-19T00:00:00,70.0
2019,G,IQ_SPI_PIL5,2025-05-19T00:00:00,85.0
2020,G,IQ_SPI_PIL5,2025-05-19T00:00:00,85.0
2021,G,IQ_SPI_PIL5,2025-05-19T00:00:00,80.0
2022,G,IQ_SPI_PIL5,2025-05-19T00:00:00,80.0
2023,G,IQ_SPI_PIL5,2025-05-19T00:00:00,85.0
2022,E,SG_STT_ODIN,2025-04-29T00:00:00,60.1
2024,E,SG_STT_ODIN,2025-04-29T00:00:00,66.6
