Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,GeoCode,Показатель,Местность,Территория,Возраст,Образование матери,Функциональные трудности у ребенка,Функциональные трудности у матери,Квинтиль индекса благосостояния,Value
2018,_L_KG_040101_11,,,,,,,,,,,,,,,,,,57.9
2023,_L_KG_040101_11,,,,,,,,,,,,,,,,,,68.5
2018,_L_KG_040101_11,,,,U,,,,,,,,,,,,,,66.7
2023,_L_KG_040101_11,,,,U,,,,,,,,,,,,,,75.3
2018,_L_KG_040101_11,,,,R,,,,,,,,,,,,,,53.8
2023,_L_KG_040101_11,,,,R,,,,,,,,,,,,,,65.6
2018,_L_KG_040101_11,,M,,,,,,,,,,,,,,,,55.8
2023,_L_KG_040101_11,,M,,,,,,,,,,,,,,,,66.9
2018,_L_KG_040101_11,,F,,,,,,,,,,,,,,,,60.1
2023,_L_KG_040101_11,,F,,,,,,,,,,,,,,,,70.1
2018,_L_KG_040101_11,KG05,,,,,,,,KG05,,,,,,,,,66.0
2023,_L_KG_040101_11,KG05,,,,,,,,KG05,,,,,,,,,81.1
2018,_L_KG_040101_11,KG03,,,,,,,,KG03,,,,,,,,,50.0
2023,_L_KG_040101_11,KG03,,,,,,,,KG03,,,,,,,,,76.5
2018,_L_KG_040101_11,KG02,,,,,,,,KG02,,,,,,,,,65.0
2023,_L_KG_040101_11,KG02,,,,,,,,KG02,,,,,,,,,84.4
2018,_L_KG_040101_11,KG04,,,,,,,,KG04,,,,,,,,,39.0
2023,_L_KG_040101_11,KG04,,,,,,,,KG04,,,,,,,,,58.2
2018,_L_KG_040101_11,KG06,,,,,,,,KG06,,,,,,,,,55.0
2023,_L_KG_040101_11,KG06,,,,,,,,KG06,,,,,,,,,56.6
2018,_L_KG_040101_11,KG07,,,,,,,,KG07,,,,,,,,,65.0
2023,_L_KG_040101_11,KG07,,,,,,,,KG07,,,,,,,,,75.5
2018,_L_KG_040101_11,KG08,,,,,,,,KG08,,,,,,,,,49.0
2023,_L_KG_040101_11,KG08,,,,,,,,KG08,,,,,,,,,58.1
2018,_L_KG_040101_11,KG11,,,,,,,,KG11,,,,,,,,,74.0
2023,_L_KG_040101_11,KG11,,,,,,,,KG11,,,,,,,,,85.7
2018,_L_KG_040101_11,KG21,,,,,,,,KG21,,,,,,,,,72.0
2023,_L_KG_040101_11,KG21,,,,,,,,KG21,,,,,,,,,57.0
2018,_L_KG_040101_11,,,,,,,_L_ATT_GRADE_2_3,,,,,,,,,,,47.4
2023,_L_KG_040101_11,,,,,,,_L_ATT_GRADE_2_3,,,,,,,,,,,53.7
2018,_L_KG_040101_11,,,Y8,,,,,,,,,,,,,,,43.0
2023,_L_KG_040101_11,,,Y8,,,,,,,,,,,,,,,46.6
2018,_L_KG_040101_11,,,Y9,,,,,,,,,,,,,,,52.3
2023,_L_KG_040101_11,,,Y9,,,,,,,,,,,,,,,60.5
2018,_L_KG_040101_11,,,,,,,_L_ATT_GRADE_4,,,,,,,,,,,58.1
2023,_L_KG_040101_11,,,,,,,_L_ATT_GRADE_4,,,,,,,,,,,67.6
2018,_L_KG_040101_11,,,,,,,_L_ATT_GRADE_9,,,,,,,,,,,78.6
2023,_L_KG_040101_11,,,,,,,_L_ATT_GRADE_9,,,,,,,,,,,89.1
2018,_L_KG_040101_11,,,,,,ISCED11_2,,,,,,,,,,,,51.7
2023,_L_KG_040101_11,,,,,,ISCED11_2,,,,,,,,,,,,51.6
2018,_L_KG_040101_11,,,,,,ISCED11_3,,,,,,,,,,,,55.2
2023,_L_KG_040101_11,,,,,,ISCED11_3,,,,,,,,,,,,66.8
2018,_L_KG_040101_11,,,,,,ISCED11_4,,,,,,,,,,,,59.6
2023,_L_KG_040101_11,,,,,,ISCED11_4,,,,,,,,,,,,73.4
2018,_L_KG_040101_11,,,,,,ISCED11_6_7,,,,,,,,,,,,64.0
2023,_L_KG_040101_11,,,,,,ISCED11_6_7,,,,,,,,,,,,72.6
2018,_L_KG_040101_11,,,,,,,,_L_CHD,,,,,,,,,,42.3
2023,_L_KG_040101_11,,,,,,,,_L_CHD,,,,,,,,,,70.1
2018,_L_KG_040101_11,,,,,,,,_L_CHWD,,,,,,,,,,59.4
2023,_L_KG_040101_11,,,,,,,,_L_CHWD,,,,,,,,,,68.4
2018,_L_KG_040101_11,,,,,,,,_L_MD,,,,,,,,,,43.4
2023,_L_KG_040101_11,,,,,,,,_L_MD,,,,,,,,,,58.9
2018,_L_KG_040101_11,,,,,,,,_L_MWD,,,,,,,,,,57.8
2023,_L_KG_040101_11,,,,,,,,_L_MWD,,,,,,,,,,66.8
2018,_L_KG_040101_11,,,,,,,,_U,,,,,,,,,,61.0
2018,_L_KG_040101_11,,,,,Q1,,,,,,,,,,,,,53.1
2023,_L_KG_040101_11,,,,,Q1,,,,,,,,,,,,,59.5
2018,_L_KG_040101_11,,,,,Q2,,,,,,,,,,,,,52.1
2023,_L_KG_040101_11,,,,,Q2,,,,,,,,,,,,,67.3
2018,_L_KG_040101_11,,,,,Q3,,,,,,,,,,,,,52.9
2023,_L_KG_040101_11,,,,,Q3,,,,,,,,,,,,,67.0
2018,_L_KG_040101_11,,,,,Q4,,,,,,,,,,,,,60.3
2023,_L_KG_040101_11,,,,,Q4,,,,,,,,,,,,,73.0
2018,_L_KG_040101_11,,,,,Q5,,,,,,,,,,,,,76.6
2023,_L_KG_040101_11,,,,,Q5,,,,,,,,,,,,,78.2
2018,_L_KG_040101_12,,,,,,,,,,,,,,,,,,51.3
2023,_L_KG_040101_12,,,,,,,,,,,,,,,,,,57.0
2018,_L_KG_040101_12,,,,U,,,,,,,,,,,,,,56.4
2023,_L_KG_040101_12,,,,U,,,,,,,,,,,,,,62.7
2018,_L_KG_040101_12,,,,R,,,,,,,,,,,,,,49.0
2023,_L_KG_040101_12,,,,R,,,,,,,,,,,,,,54.6
2018,_L_KG_040101_12,,M,,,,,,,,,,,,,,,,49.3
2023,_L_KG_040101_12,,M,,,,,,,,,,,,,,,,57.0
2018,_L_KG_040101_12,,F,,,,,,,,,,,,,,,,53.5
2023,_L_KG_040101_12,,F,,,,,,,,,,,,,,,,56.9
2018,_L_KG_040101_12,KG05,,,,,,,,KG05,,,,,,,,,66.7
2023,_L_KG_040101_12,KG05,,,,,,,,KG05,,,,,,,,,73.9
2018,_L_KG_040101_12,KG03,,,,,,,,KG03,,,,,,,,,42.9
2023,_L_KG_040101_12,KG03,,,,,,,,KG03,,,,,,,,,61.6
2018,_L_KG_040101_12,KG02,,,,,,,,KG02,,,,,,,,,54.5
2023,_L_KG_040101_12,KG02,,,,,,,,KG02,,,,,,,,,69.6
2018,_L_KG_040101_12,KG04,,,,,,,,KG04,,,,,,,,,41.4
