Year,REF_AREA,SEX,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMMENT_OBS,GeoCode,Value
2014,,,,,,,783
2018,,,,,,,717
2023,,,,,,,701
2014,KG05,,,,,KG05,812
2018,KG05,,,,,KG05,833
2023,KG05,,,,,KG05,711
2014,KG03,,,,,KG03,871
2018,KG03,,,,,KG03,639
2023,KG03,,,,,KG03,631
2014,KG02,,,,,KG02,816
2018,KG02,,,,,KG02,798
2023,KG02,,,,,KG02,382
2014,KG04,,,,,KG04,806
2018,KG04,,,,,KG04,724
2023,KG04,,,,,KG04,688
2014,KG06,,,,,KG06,696
2018,KG06,,,,,KG06,658
2023,KG06,,,,,KG06,812
2014,KG07,,,,,KG07,849
2018,KG07,,,,,KG07,651
2023,KG07,,,,,KG07,842
2014,KG08,,,,,KG08,735
2018,KG08,,,,,KG08,720
2023,KG08,,,,,KG08,659
2014,KG11,,,,,KG11,874
2018,KG11,,,,,KG11,813
2023,KG11,,,,,KG11,762
2014,KG21,,,,,KG21,520
2018,KG21,,,,,KG21,715
2023,KG21,,,,,KG21,657
2014,,M,,,,,761
2018,,M,,,,,682
2023,,M,,,,,696
2014,,F,,,,,806
2018,,F,,,,,750
2023,,F,,,,,703
2014,,,,ISCED11_2,Образование матери,,701
2018,,,,ISCED11_2,Образование матери,,710
2023,,,,ISCED11_2,Образование матери,,654
2014,,,,ISCED11_3,Образование матери,,772
2018,,,,ISCED11_3,Образование матери,,738
2023,,,,ISCED11_3,Образование матери,,689
2014,,,,ISCED11_4,Образование матери,,808
2018,,,,ISCED11_4,Образование матери,,706
2023,,,,ISCED11_4,Образование матери,,694
2014,,,,ISCED11_5,Образование матери,,818
2018,,,,ISCED11_5,Образование матери,,696
2023,,,,ISCED11_5,Образование матери,,746
2014,,,Q1,,,,765
2018,,,Q1,,,,725
2023,,,Q1,,,,626
2014,,,Q2,,,,803
2018,,,Q2,,,,706
2023,,,Q2,,,,736
2014,,,Q3,,,,730
2018,,,Q3,,,,672
2023,,,Q3,,,,740
2014,,,Q4,,,,793
2018,,,Q4,,,,710
2023,,,Q4,,,,684
2014,,,Q5,,,,843
2018,,,Q5,,,,780
2023,,,Q5,,,,739
