Year,COMMENT_OBS,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",15.51443
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",32.477634
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",10.417863
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",8.115398
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",10.092453
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",15.158884
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",15.317979
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",12.578104
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",8.060095
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",15.90357
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",12.399342
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",28.877453
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",19.446289
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",18.33077
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",29.734722
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",25.203743
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",45.404617
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",13.615079
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",9.21413
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",16.544805
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",22.514123
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",59.228461
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",38.233685
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",28.878825
