Year,PRODUCT,Value
2019,,2.093541
2020,,1.776893
2021,,2.915308
2022,,5.783814
2019,_L_COMP_PER_EQUIP,0.8758
2020,_L_COMP_PER_EQUIP,0.704303
2021,_L_COMP_PER_EQUIP,1.32522
2022,_L_COMP_PER_EQUIP,2.151089
2019,_L_COMM_EQUIP,0.916657
2020,_L_COMM_EQUIP,0.731091
2021,_L_COMM_EQUIP,0.905902
2022,_L_COMM_EQUIP,2.880714
2019,_L_COMM_ELECT,0.216403
2020,_L_COMM_ELECT,0.261201
2021,_L_COMM_ELECT,0.573645
2022,_L_COMM_ELECT,0.519339
2019,_L_OTHER_ELECT_COMP,0.084681
2020,_L_OTHER_ELECT_COMP,0.080297
2021,_L_OTHER_ELECT_COMP,0.110541
2022,_L_OTHER_ELECT_COMP,0.232671
