Year,COMMENT_OBS,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",90.147365
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",4.674301
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",34.027176
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",25.614836
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",24.725719
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",36.299862
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",25.718209
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",33.062747
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",36.728447
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",27.315641
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",25.01656
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",33.525302
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",34.443943
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",32.263506
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",18.356352
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",28.126849
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",23.541647
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",23.778613
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",23.022671
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",13.774201
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",9.723774
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",17.373366
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",55.005217
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",26.299233
