Year,REF_AREA,URBANISATION,GeoCode,Value
2015,,,,38.5
2016,,,,30.3
2017,,,,31.2
2018,,,,29.8
2019,,,,24.8
2020,,,,42.4
2021,,,,37.1
2022,,,,28.1
2023,,,,26.0
2024,,,,25.7
2015,KG05,,KG05,32.6
2016,KG05,,KG05,41.9
2017,KG05,,KG05,59.4
2018,KG05,,KG05,26.9
2019,KG05,,KG05,32.3
2020,KG05,,KG05,42.4
2021,KG05,,KG05,45.7
2022,KG05,,KG05,34.9
2023,KG05,,KG05,14.5
2024,KG05,,KG05,30.4
2015,KG03,,KG03,56.4
2016,KG03,,KG03,33.5
2017,KG03,,KG03,50.3
2018,KG03,,KG03,38.2
2019,KG03,,KG03,34.1
2020,KG03,,KG03,53.2
2021,KG03,,KG03,30.5
2022,KG03,,KG03,28.7
2023,KG03,,KG03,46.9
2024,KG03,,KG03,30.6
2015,KG02,,KG02,17.8
2016,KG02,,KG02,43.4
2017,KG02,,KG02,37.0
2018,KG02,,KG02,62.3
2019,KG02,,KG02,18.9
2020,KG02,,KG02,100.6
2021,KG02,,KG02,103.5
2022,KG02,,KG02,38.5
2023,KG02,,KG02,26.5
2024,KG02,,KG02,56.5
2015,KG04,,KG04,30.6
2016,KG04,,KG04,29.2
2018,KG04,,KG04,135.9
2019,KG04,,KG04,33.1
2020,KG04,,KG04,52.6
2021,KG04,,KG04,167.5
2022,KG04,,KG04,48.0
2015,KG06,,KG06,30.6
2016,KG06,,KG06,27.7
2017,KG06,,KG06,25.6
2018,KG06,,KG06,22.2
2019,KG06,,KG06,25.5
2020,KG06,,KG06,24.5
2021,KG06,,KG06,33.3
2022,KG06,,KG06,25.6
2023,KG06,,KG06,30.2
2024,KG06,,KG06,7.3
2015,KG07,,KG07,15.1
2019,KG07,,KG07,33.3
2020,KG07,,KG07,51.9
2021,KG07,,KG07,37.1
2022,KG07,,KG07,104.5
2023,KG07,,KG07,63.9
2024,KG07,,KG07,70.1
2015,KG08,,KG08,49.2
2016,KG08,,KG08,43.5
2017,KG08,,KG08,22.9
2018,KG08,,KG08,20.1
2019,KG08,,KG08,36.6
2020,KG08,,KG08,46.1
2021,KG08,,KG08,32.5
2022,KG08,,KG08,23.5
2023,KG08,,KG08,28.1
2024,KG08,,KG08,50.2
2015,KG11,,KG11,30.5
2016,KG11,,KG11,17.6
2017,KG11,,KG11,13.4
2018,KG11,,KG11,14.4
2019,KG11,,KG11,10.1
2020,KG11,,KG11,26.8
2021,KG11,,KG11,19.3
2022,KG11,,KG11,34.3
2023,KG11,,KG11,13.5
2024,KG11,,KG11,27.0
2015,KG21,,KG21,68.1
2016,KG21,,KG21,13.5
2017,KG21,,KG21,51.9
2018,KG21,,KG21,16.7
2020,KG21,,KG21,33.6
2021,KG21,,KG21,16.5
2023,KG21,,KG21,14.0
2024,KG21,,KG21,8.6
2015,,U,,26.678354
2016,,U,,15.500872
2017,,U,,18.928997
2018,,U,,25.787319
2019,,U,,19.722071
2020,,U,,28.096387
2021,,U,,15.620851
2022,,U,,19.598556
2023,,U,,19.821114
2024,,U,,20.34588
2015,,R,,44.154089
2016,,R,,36.602534
2017,,R,,37.701779
2018,,R,,32.079778
2019,,R,,27.889335
2020,,R,,51.226359
2021,,R,,54.557907
2022,,R,,32.585734
2023,,R,,28.404787
2024,,R,,28.487219
