Year,COMMENT_OBS,SERIES,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,1.801327
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,13.015486
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,7.50567
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,10.007748
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,10.697682
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,13.112364
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,13.3664
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,13.187169
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,15.992147
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,11.409619
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,12.390295
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,22.819842
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,22.149577
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,18.495666
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,27.755716
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,25.178603
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,20.458502
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,28.459347
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,28.93613
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,22.564909
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,25.867845
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,34.254726
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,50.390434
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHL,29.919343
2010,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,11.7237
2011,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,22.1136
2012,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,21.7485
2013,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,18.1722
2014,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,27.4303
2015,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,24.8643
2016,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,19.8705
2017,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,27.8608
2018,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,26.7972
2019,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,22.0063
2020,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,25.2005
2021,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,33.69
2022,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,49.7987
2023,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",DC_TOF_HLTHNT,26.9385
