Year,SERIES,SEX,URBANISATION,Value
2015,SL_DOM_TSPD,,,13.2
2020,SL_DOM_TSPD,,,11.5
2015,SL_DOM_TSPD,,U,12.5
2020,SL_DOM_TSPD,,U,10.7
2015,SL_DOM_TSPD,,R,13.9
2020,SL_DOM_TSPD,,R,11.9
2015,SL_DOM_TSPD,M,,6.5
2020,SL_DOM_TSPD,M,,3.9
2015,SL_DOM_TSPD,F,,18.8
2020,SL_DOM_TSPD,F,,18.1
2015,SL_DOM_TSPDDC,,,1.7
2020,SL_DOM_TSPDDC,,,2.6
2015,SL_DOM_TSPDDC,,U,0.4
2020,SL_DOM_TSPDDC,,U,1.0
2015,SL_DOM_TSPDDC,,R,3.1
2020,SL_DOM_TSPDDC,,R,3.5
2015,SL_DOM_TSPDDC,M,,2.4
2020,SL_DOM_TSPDDC,M,,3.6
2015,SL_DOM_TSPDDC,F,,1.0
2020,SL_DOM_TSPDDC,F,,1.7
2015,SL_DOM_TSPDCW,,,0.9
2020,SL_DOM_TSPDCW,,,2.0
2015,SL_DOM_TSPDCW,,U,0.9
2020,SL_DOM_TSPDCW,,U,1.7
2015,SL_DOM_TSPDCW,,R,0.9
2020,SL_DOM_TSPDCW,,R,2.2
2015,SL_DOM_TSPDCW,M,,0.6
2020,SL_DOM_TSPDCW,M,,1.2
2015,SL_DOM_TSPDCW,F,,1.2
2020,SL_DOM_TSPDCW,F,,2.8
