Year,REF_AREA,URBANISATION,GeoCode,Value
2014,,,,99.6
2018,,,,99.7
2023,,,,99.4
2014,,U,,99.8
2018,,U,,99.8
2023,,U,,99.1
2014,,R,,99.5
2018,,R,,99.6
2023,,R,,99.5
2014,KG05,,KG05,99.6
2018,KG05,,KG05,99.7
2023,KG05,,KG05,98.9
2014,KG03,,KG03,100.0
2018,KG03,,KG03,99.4
2023,KG03,,KG03,99.4
2014,KG02,,KG02,99.4
2018,KG02,,KG02,100.0
2023,KG02,,KG02,99.7
2014,KG04,,KG04,99.8
2018,KG04,,KG04,99.7
2023,KG04,,KG04,100.0
2014,KG06,,KG06,99.9
2018,KG06,,KG06,99.8
2023,KG06,,KG06,99.4
2014,KG07,,KG07,98.7
2018,KG07,,KG07,100.0
2023,KG07,,KG07,100.0
2014,KG08,,KG08,99.1
2018,KG08,,KG08,99.5
2023,KG08,,KG08,99.4
2014,KG11,,KG11,100.0
2018,KG11,,KG11,99.9
2023,KG11,,KG11,100.0
2014,KG21,,KG21,98.5
2018,KG21,,KG21,99.5
2023,KG21,,KG21,97.4
