Year,REF_AREA,GeoCode,Value
2006,,,226
2007,,,281
2008,,,370
2009,,,392
2010,,,424
2011,,,544
2012,,,580
2013,,,650
2014,,,718
2015,,,755
2016,,,818
2017,,,893
2018,,,884
2019,,,992
2020,,,951
2021,,,1143
2022,,,1463
2023,,,1879
2024,,,2191
2006,KG05,KG05,93
2007,KG05,KG05,131
2008,KG05,KG05,162
2009,KG05,KG05,165
2010,KG05,KG05,202
2011,KG05,KG05,323
2012,KG05,KG05,338
2013,KG05,KG05,364
2014,KG05,KG05,388
2015,KG05,KG05,391
2016,KG05,KG05,379
2017,KG05,KG05,389
2018,KG05,KG05,353
2019,KG05,KG05,413
2020,KG05,KG05,422
2021,KG05,KG05,489
2022,KG05,KG05,652
2023,KG05,KG05,790
2024,KG05,KG05,845
2006,KG03,KG03,147
2007,KG03,KG03,174
2008,KG03,KG03,243
2009,KG03,KG03,247
2010,KG03,KG03,276
2011,KG03,KG03,337
2012,KG03,KG03,371
2013,KG03,KG03,369
2014,KG03,KG03,414
2015,KG03,KG03,463
2016,KG03,KG03,484
2017,KG03,KG03,552
2018,KG03,KG03,555
2019,KG03,KG03,613
2020,KG03,KG03,546
2021,KG03,KG03,683
2022,KG03,KG03,832
2023,KG03,KG03,1093
2024,KG03,KG03,1189
2006,KG02,KG02,287
2007,KG02,KG02,365
2008,KG02,KG02,502
2009,KG02,KG02,647
2010,KG02,KG02,825
2011,KG02,KG02,997
2012,KG02,KG02,824
2013,KG02,KG02,1145
2014,KG02,KG02,1160
2015,KG02,KG02,1110
2016,KG02,KG02,1316
2017,KG02,KG02,1380
2018,KG02,KG02,1327
2019,KG02,KG02,1686
2020,KG02,KG02,1689
2021,KG02,KG02,1554
2022,KG02,KG02,2006
2023,KG02,KG02,2195
2024,KG02,KG02,2443
2006,KG04,KG04,208
2007,KG04,KG04,254
2008,KG04,KG04,324
2009,KG04,KG04,289
2010,KG04,KG04,293
2011,KG04,KG04,303
2012,KG04,KG04,356
2013,KG04,KG04,378
2014,KG04,KG04,435
2015,KG04,KG04,492
2016,KG04,KG04,531
2017,KG04,KG04,517
2018,KG04,KG04,478
2019,KG04,KG04,521
2020,KG04,KG04,602
2021,KG04,KG04,597
2022,KG04,KG04,914
2023,KG04,KG04,1076
2024,KG04,KG04,1299
2006,KG06,KG06,121
2007,KG06,KG06,148
2008,KG06,KG06,183
2009,KG06,KG06,189
2010,KG06,KG06,200
2011,KG06,KG06,274
2012,KG06,KG06,255
2013,KG06,KG06,253
2014,KG06,KG06,278
2015,KG06,KG06,278
2016,KG06,KG06,280
2017,KG06,KG06,311
2018,KG06,KG06,317
2019,KG06,KG06,347
2020,KG06,KG06,365
2021,KG06,KG06,425
2022,KG06,KG06,536
2023,KG06,KG06,655
2024,KG06,KG06,758
2006,KG07,KG07,243
2007,KG07,KG07,269
2008,KG07,KG07,388
2009,KG07,KG07,274
2010,KG07,KG07,329
2011,KG07,KG07,293
2012,KG07,KG07,411
2013,KG07,KG07,474
2014,KG07,KG07,571
2015,KG07,KG07,599
2016,KG07,KG07,598
2017,KG07,KG07,639
2018,KG07,KG07,572
2019,KG07,KG07,644
2020,KG07,KG07,673
2021,KG07,KG07,1166
2022,KG07,KG07,1440
2023,KG07,KG07,1492
2024,KG07,KG07,1935
2006,KG08,KG08,257
2007,KG08,KG08,302
2008,KG08,KG08,371
2009,KG08,KG08,399
2010,KG08,KG08,373
2011,KG08,KG08,524
2012,KG08,KG08,515
2013,KG08,KG08,580
2014,KG08,KG08,694
2015,KG08,KG08,848
2016,KG08,KG08,887
2017,KG08,KG08,982
2018,KG08,KG08,846
2019,KG08,KG08,870
2020,KG08,KG08,826
2021,KG08,KG08,1063
2022,KG08,KG08,1379
2023,KG08,KG08,1701
2024,KG08,KG08,2126
2006,KG11,KG11,453
2007,KG11,KG11,596
2008,KG11,KG11,797
2009,KG11,KG11,846
2010,KG11,KG11,902
2011,KG11,KG11,1152
2012,KG11,KG11,1317
2013,KG11,KG11,1468
2014,KG11,KG11,1599
2015,KG11,KG11,1623
2016,KG11,KG11,1810
2017,KG11,KG11,1968
2018,KG11,KG11,2242
2019,KG11,KG11,2521
2020,KG11,KG11,2332
2021,KG11,KG11,2924
2022,KG11,KG11,3701
2023,KG11,KG11,5153
2024,KG11,KG11,5687
2006,KG21,KG21,176
2007,KG21,KG21,182
2008,KG21,KG21,244
2009,KG21,KG21,277
2010,KG21,KG21,251
2011,KG21,KG21,376
2012,KG21,KG21,650
2013,KG21,KG21,734
2014,KG21,KG21,855
2015,KG21,KG21,871
2016,KG21,KG21,953
2017,KG21,KG21,1125
2018,KG21,KG21,1056
2019,KG21,KG21,1148
2020,KG21,KG21,1096
2021,KG21,KG21,1241
2022,KG21,KG21,1657
2023,KG21,KG21,2055
2024,KG21,KG21,1898
