Year,Value,SERIES
2015,1280.6,_L_KG_150301_1B
2016,1280.6,_L_KG_150301_1B
2017,1287.9,_L_KG_150301_1B
2018,1287.8,_L_KG_150301_1B
2019,1287.6,_L_KG_150301_1B
2020,1287.4,_L_KG_150301_1B
2021,1287.3,_L_KG_150301_1B
2022,1286.4,_L_KG_150301_1B
2023,1286.0,_L_KG_150301_1B
2024,1287.1,_L_KG_150301_1B
2015,90.0,_L_KG_150301_1A
2016,81.1,_L_KG_150301_1A
2017,74.0,_L_KG_150301_1A
2018,66.5,_L_KG_150301_1A
2019,62.5,_L_KG_150301_1A
2020,55.8,_L_KG_150301_1A
2021,52.9,_L_KG_150301_1A
2022,48.8,_L_KG_150301_1A
2023,42.6,_L_KG_150301_1A
2024,39.0,_L_KG_150301_1A
