Year,Value,UNIT_MEASURE,SERIES
2015,0.689,IX,_L_KG_171501_A1
2016,0.692,IX,_L_KG_171501_A1
2017,0.695,IX,_L_KG_171501_A1
2018,0.698,IX,_L_KG_171501_A1
2019,0.699,IX,_L_KG_171501_A1
2020,0.691,IX,_L_KG_171501_A1
2021,0.696,IX,_L_KG_171501_A1
2022,0.701,IX,_L_KG_171501_A1
2015,70.0,_L_Y,_L_KG_171501_A2
2016,70.3,_L_Y,_L_KG_171501_A2
2017,70.6,_L_Y,_L_KG_171501_A2
2018,70.7,_L_Y,_L_KG_171501_A2
2019,71.2,_L_Y,_L_KG_171501_A2
2020,69.6,_L_Y,_L_KG_171501_A2
2021,70.0,_L_Y,_L_KG_171501_A2
2022,70.5,_L_Y,_L_KG_171501_A2
2015,12.6,_L_Y,_L_KG_171501_A3
2016,12.7,_L_Y,_L_KG_171501_A3
2017,12.5,_L_Y,_L_KG_171501_A3
2018,12.4,_L_Y,_L_KG_171501_A3
2019,12.5,_L_Y,_L_KG_171501_A3
2020,12.6,_L_Y,_L_KG_171501_A3
2021,13.0,_L_Y,_L_KG_171501_A3
2022,13.0,_L_Y,_L_KG_171501_A3
2015,11.5,_L_Y,_L_KG_171501_A4
2016,11.6,_L_Y,_L_KG_171501_A4
2017,11.7,_L_Y,_L_KG_171501_A4
2018,11.8,_L_Y,_L_KG_171501_A4
2019,11.9,_L_Y,_L_KG_171501_A4
2020,12.0,_L_Y,_L_KG_171501_A4
2021,12.0,_L_Y,_L_KG_171501_A4
2022,12.0,_L_Y,_L_KG_171501_A4
