Year,Value,SERIES
2015,10275.014,EN_ATM_CO2
2016,8840.465,EN_ATM_CO2
2017,9449.068,EN_ATM_CO2
2018,18334.32,EN_ATM_CO2
2019,16586.26,EN_ATM_CO2
2020,16828.16,EN_ATM_CO2
2021,18761.5,EN_ATM_CO2
2022,19075.4,EN_ATM_CO2
2023,19374.16,EN_ATM_CO2
2015,2.386822,EN_ATM_CO2GDP
2016,1.855949,EN_ATM_CO2GDP
2017,1.781244,EN_ATM_CO2GDP
2018,0.0322,EN_ATM_CO2GDP
2019,0.0268,EN_ATM_CO2GDP
2020,0.0278,EN_ATM_CO2GDP
2021,0.0259,EN_ATM_CO2GDP
2022,0.0208,EN_ATM_CO2GDP
2023,0.0158,EN_ATM_CO2GDP
2015,1.560781,EN_ATM_CO2MVA
2016,1.29663,EN_ATM_CO2MVA
2017,1.355711,EN_ATM_CO2MVA
2018,0.2256,EN_ATM_CO2MVA
2019,0.1822,EN_ATM_CO2MVA
2020,0.1935,EN_ATM_CO2MVA
2021,0.196,EN_ATM_CO2MVA
2022,0.1673,EN_ATM_CO2MVA
