Year,Территория,GeoCode,Value
2007,,,0.13
2008,,,0.09
2009,,,0.29
2010,,,0.28
2011,,,0.01
2012,,,0.28
2013,,,0.34
2014,,,0.07
2015,,,0.06
2016,,,0.21
2017,,,0.31
2018,,,0.28
2019,,,0.0
2020,,,0.02
2007,Баткенская область,KG05,0.0
2008,Баткенская область,KG05,0.27
2009,Баткенская область,KG05,0.0
2010,Баткенская область,KG05,0.21
2011,Баткенская область,KG05,0.0
2012,Баткенская область,KG05,0.0
2013,Баткенская область,KG05,0.0
2014,Баткенская область,KG05,0.0
2015,Баткенская область,KG05,0.34
2016,Баткенская область,KG05,0.32
2017,Баткенская область,KG05,1.08
2018,Баткенская область,KG05,0.45
2019,Баткенская область,KG05,0.0
2020,Баткенская область,KG05,0.0
2007,Джалал-Абадская область,KG03,0.2
2008,Джалал-Абадская область,KG03,0.0
2009,Джалал-Абадская область,KG03,0.0
2010,Джалал-Абадская область,KG03,0.22
2011,Джалал-Абадская область,KG03,0.0
2012,Джалал-Абадская область,KG03,0.61
2013,Джалал-Абадская область,KG03,0.0
2014,Джалал-Абадская область,KG03,0.0
2015,Джалал-Абадская область,KG03,0.0
2016,Джалал-Абадская область,KG03,0.0
2017,Джалал-Абадская область,KG03,0.0
2018,Джалал-Абадская область,KG03,0.0
2019,Джалал-Абадская область,KG03,0.0
2020,Джалал-Абадская область,KG03,0.0
2007,Иссык-Кульская область,KG02,0.05
2008,Иссык-Кульская область,KG02,0.34
2009,Иссык-Кульская область,KG02,0.58
2010,Иссык-Кульская область,KG02,0.11
2011,Иссык-Кульская область,KG02,0.0
2012,Иссык-Кульская область,KG02,0.0
2013,Иссык-Кульская область,KG02,0.0
2014,Иссык-Кульская область,KG02,0.0
2015,Иссык-Кульская область,KG02,0.0
2016,Иссык-Кульская область,KG02,0.0
2017,Иссык-Кульская область,KG02,0.0
2018,Иссык-Кульская область,KG02,0.89
2019,Иссык-Кульская область,KG02,0.0
2020,Иссык-Кульская область,KG02,0.0
2007,Нарынская область,KG04,0.13
2008,Нарынская область,KG04,0.63
2009,Нарынская область,KG04,0.03
2010,Нарынская область,KG04,3.46
2011,Нарынская область,KG04,0.31
2012,Нарынская область,KG04,0.0
2013,Нарынская область,KG04,0.84
2014,Нарынская область,KG04,0.2
2015,Нарынская область,KG04,0.74
2016,Нарынская область,KG04,0.7
2017,Нарынская область,KG04,0.66
2018,Нарынская область,KG04,1.7
2019,Нарынская область,KG04,0.0
2020,Нарынская область,KG04,0.54
2007,Ошская область,KG06,0.33
2008,Ошская область,KG06,0.03
2009,Ошская область,KG06,0.0
2010,Ошская область,KG06,0.09
2011,Ошская область,KG06,0.0
2012,Ошская область,KG06,0.0
2013,Ошская область,KG06,0.0
2014,Ошская область,KG06,0.0
2015,Ошская область,KG06,0.0
2016,Ошская область,KG06,0.0
2017,Ошская область,KG06,0.0
2018,Ошская область,KG06,0.0
2019,Ошская область,KG06,0.0
2020,Ошская область,KG06,0.0
2007,Таласская область,KG07,0.0
2008,Таласская область,KG07,0.0
2009,Таласская область,KG07,0.0
2010,Таласская область,KG07,0.0
2011,Таласская область,KG07,0.0
2012,Таласская область,KG07,0.0
2013,Таласская область,KG07,0.0
2014,Таласская область,KG07,0.0
2015,Таласская область,KG07,0.0
2016,Таласская область,KG07,0.0
2017,Таласская область,KG07,0.0
2018,Таласская область,KG07,0.0
2019,Таласская область,KG07,0.0
2020,Таласская область,KG07,0.0
2007,Чуйская область,KG08,0.0
2008,Чуйская область,KG08,0.0
2009,Чуйская область,KG08,1.35
2010,Чуйская область,KG08,0.16
2011,Чуйская область,KG08,0.0
2012,Чуйская область,KG08,1.09
2013,Чуйская область,KG08,0.36
2014,Чуйская область,KG08,0.42
2015,Чуйская область,KG08,0.0
2016,Чуйская область,KG08,1.01
2017,Чуйская область,KG08,1.27
2018,Чуйская область,KG08,0.32
2019,Чуйская область,KG08,0.0
2020,Чуйская область,KG08,0.0
2007,г. Бишкек,KG11,0.0
2008,г. Бишкек,KG11,0.02
2009,г. Бишкек,KG11,0.27
2010,г. Бишкек,KG11,0.0
2011,г. Бишкек,KG11,0.0
2012,г. Бишкек,KG11,0.03
2013,г. Бишкек,KG11,1.55
2014,г. Бишкек,KG11,0.0
2015,г. Бишкек,KG11,0.0
2016,г. Бишкек,KG11,0.0
2017,г. Бишкек,KG11,0.0
2018,г. Бишкек,KG11,0.33
2019,г. Бишкек,KG11,0.0
2020,г. Бишкек,KG11,0.0
2012,г. Ош,KG21,0.0
2013,г. Ош,KG21,0.0
2014,г. Ош,KG21,0.0
2015,г. Ош,KG21,0.0
2016,г. Ош,KG21,0.0
2017,г. Ош,KG21,0.0
2018,г. Ош,KG21,0.0
2019,г. Ош,KG21,0.0
2020,г. Ош,KG21,0.0
