Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Value
2018,,,,,,,48.5
2019,,,,,,,52.21498
2020,,,,,,,50.7
2018,,,,Городская,,,66.0
2019,,,,Городская,,,63.551047
2020,,,,Городская,,,63.4
2018,,,,Сельская,,,38.1
2019,,,,Сельская,,,45.472134
2020,,,,Сельская,,,42.9
2018,,Мужчины,,,,,47.9
2019,,Мужчины,,,,,53.271701
2020,,Мужчины,,,,,51.2
2018,,Женщины,,,,,49.0
2019,,Женщины,,,,,51.333358
2020,,Женщины,,,,,50.3
2018,Баткенская область,,,,,,32.9
2019,Баткенская область,,,,,,58.744301
2020,Баткенская область,,,,,,59.3
2018,Джалал-Абадская область,,,,,,18.3
2019,Джалал-Абадская область,,,,,,28.903645
2020,Джалал-Абадская область,,,,,,31.4
2018,Иссык-Кульская область,,,,,,72.5
2019,Иссык-Кульская область,,,,,,74.566373
2020,Иссык-Кульская область,,,,,,70.3
2018,Нарынская область,,,,,,39.3
2019,Нарынская область,,,,,,46.956365
2020,Нарынская область,,,,,,45.0
2018,Ошская область,,,,,,39.6
2019,Ошская область,,,,,,48.545801
2020,Ошская область,,,,,,38.5
2018,Таласская область,,,,,,42.2
2019,Таласская область,,,,,,44.503622
2020,Таласская область,,,,,,47.0
2018,Чуйская область,,,,,,63.1
2019,Чуйская область,,,,,,54.516309
2020,Чуйская область,,,,,,54.6
2018,г. Бишкек,,,,,,67.7
2019,г. Бишкек,,,,,,59.847788
2020,г. Бишкек,,,,,,61.3
2018,г. Ош,,,,,,94.6
2019,г. Ош,,,,,,94.985632
2020,г. Ош,,,,,,93.2
2018,,,от 15 до 28 лет,,,,48.4
2019,,,от 15 до 28 лет,,,,52.97992
2020,,,от 15 до 28 лет,,,,51.0
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,48.9
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,52.777792
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,51.5
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,48.1
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,49.028951
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,47.9
2018,,,,,,Начальное образование,48.2
2019,,,,,,Начальное образование,51.492251
2020,,,,,,Начальное образование,49.3
2018,,,,,,Первый этап среднего образования,51.2
2019,,,,,,Первый этап среднего образования,52.713048
2020,,,,,,Первый этап среднего образования,52.4
2018,,,,,,Второй этап среднего образования,42.7
2019,,,,,,Второй этап среднего образования,48.72395
2020,,,,,,Второй этап среднего образования,46.6
2018,,,,,,Послесреднее нетретичное образование,55.4
2019,,,,,,Послесреднее нетретичное образование,55.333195
2020,,,,,,Послесреднее нетретичное образование,55.2
2018,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),56.0
2019,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),58.324491
2020,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),56.6
2018,,,,,Квинтиль 1 (беднейшие),,37.439764
2019,,,,,Квинтиль 1 (беднейшие),,40.12009
2018,,,,,Квинтиль 2,,46.499747
2019,,,,,Квинтиль 2,,50.779258
2018,,,,,Квинтиль 3,,48.377566
2019,,,,,Квинтиль 3,,52.031241
2018,,,,,Квинтиль 4,,51.090005
2019,,,,,Квинтиль 4,,55.909722
2018,,,,,Квинтиль 5 (богатейшие),,55.275396
2019,,,,,Квинтиль 5 (богатейшие),,58.214146
