Year,Тип местности,Value
2015,,61086
2016,,62421
2017,,63713
2018,,65168
2019,,66636
2020,,67896
2021,,69128
2022,,70376
2023,,71619
2024,,72818
2015,Городская,20328
2016,Городская,20776
2017,Городская,21252
2018,Городская,21782
2019,Городская,22361
2020,Городская,22881
2021,Городская,23959
2022,Городская,24537
2023,Городская,29784
2024,Городская,30373
2015,Сельская,40758
2016,Сельская,41645
2017,Сельская,42461
2018,Сельская,43386
2019,Сельская,44275
2020,Сельская,45015
2021,Сельская,45169
2022,Сельская,45839
2023,Сельская,41835
2024,Сельская,42445
