Year,COMPOSITE_BREAKDOWN,Value
2013,Вид избавления: Мусоропровод,3.0
2014,Вид избавления: Мусоропровод,2.0
2015,Вид избавления: Мусоропровод,1.0
2016,Вид избавления: Мусоропровод,1.0
2017,Вид избавления: Мусоропровод,1.0
2018,Вид избавления: Мусоропровод,1.0
2019,Вид избавления: Мусоропровод,0.0
2020,Вид избавления: Мусоропровод,0.0
2013,"Вид избавления: Сбор грузовиком, контейнером",269.0
2014,"Вид избавления: Сбор грузовиком, контейнером",277.0
2015,"Вид избавления: Сбор грузовиком, контейнером",306.0
2016,"Вид избавления: Сбор грузовиком, контейнером",313.0
2017,"Вид избавления: Сбор грузовиком, контейнером",388.0
2018,"Вид избавления: Сбор грузовиком, контейнером",440.0
2019,"Вид избавления: Сбор грузовиком, контейнером",46.9
2020,"Вид избавления: Сбор грузовиком, контейнером",48.2
2013,Вид избавления: Сброс в мусорные кучи,216.0
2014,Вид избавления: Сброс в мусорные кучи,234.0
2015,Вид избавления: Сброс в мусорные кучи,290.0
2016,Вид избавления: Сброс в мусорные кучи,224.0
2017,Вид избавления: Сброс в мусорные кучи,218.0
2018,Вид избавления: Сброс в мусорные кучи,202.0
2019,Вид избавления: Сброс в мусорные кучи,20.2
2020,Вид избавления: Сброс в мусорные кучи,19.3
2013,Вид избавления: Сжигание,330.0
2014,Вид избавления: Сжигание,318.0
2015,Вид избавления: Сжигание,298.0
2016,Вид избавления: Сжигание,329.0
2017,Вид избавления: Сжигание,286.0
2018,Вид избавления: Сжигание,256.0
2019,Вид избавления: Сжигание,240.0
2020,Вид избавления: Сжигание,242.0
2013,Вид избавления: Закапывание,182.0
2014,Вид избавления: Закапывание,169.0
2015,Вид избавления: Закапывание,106.0
2016,Вид избавления: Закапывание,134.0
2017,Вид избавления: Закапывание,109.0
2018,Вид избавления: Закапывание,100.0
2019,Вид избавления: Закапывание,89.0
2020,Вид избавления: Закапывание,83.0
