Year,Территория,GeoCode,Value
2012,,,5.58
2013,,,5.58
2014,,,5.67
2015,,,5.67
2016,,,5.67
2017,,,5.58
2018,,,5.6
2019,,,5.6
2020,,,5.6
2012,Баткенская область,KG05,0.8
2013,Баткенская область,KG05,0.8
2014,Баткенская область,KG05,0.8
2015,Баткенская область,KG05,0.8
2016,Баткенская область,KG05,0.8
2017,Баткенская область,KG05,0.8
2018,Баткенская область,KG05,0.8
2019,Баткенская область,KG05,0.8
2020,Баткенская область,KG05,0.8
2012,Джалал-Абадская область,KG03,1.9
2013,Джалал-Абадская область,KG03,1.9
2014,Джалал-Абадская область,KG03,1.9
2015,Джалал-Абадская область,KG03,1.69
2016,Джалал-Абадская область,KG03,1.69
2017,Джалал-Абадская область,KG03,1.9
2018,Джалал-Абадская область,KG03,1.9
2019,Джалал-Абадская область,KG03,1.9
2020,Джалал-Абадская область,KG03,1.9
2012,Иссык-Кульская область,KG02,0.7
2013,Иссык-Кульская область,KG02,0.7
2014,Иссык-Кульская область,KG02,0.7
2015,Иссык-Кульская область,KG02,0.7
2016,Иссык-Кульская область,KG02,0.7
2017,Иссык-Кульская область,KG02,0.7
2018,Иссык-Кульская область,KG02,0.7
2019,Иссык-Кульская область,KG02,0.7
2020,Иссык-Кульская область,KG02,0.7
2012,Нарынская область,KG04,0.7
2013,Нарынская область,KG04,0.7
2014,Нарынская область,KG04,0.7
2015,Нарынская область,KG04,0.67
2016,Нарынская область,KG04,0.67
2017,Нарынская область,KG04,0.68
2018,Нарынская область,KG04,0.7
2019,Нарынская область,KG04,0.7
2020,Нарынская область,KG04,0.7
2012,Ошская область,KG06,0.9
2013,Ошская область,KG06,0.9
2014,Ошская область,KG06,0.96
2015,Ошская область,KG06,0.97
2016,Ошская область,KG06,0.97
2017,Ошская область,KG06,0.9
2018,Ошская область,KG06,0.9
2019,Ошская область,KG06,0.9
2020,Ошская область,KG06,0.9
2012,Таласская область,KG07,0.3
2013,Таласская область,KG07,0.3
2014,Таласская область,KG07,0.3
2015,Таласская область,KG07,0.3
2016,Таласская область,KG07,0.3
2017,Таласская область,KG07,0.3
2018,Таласская область,KG07,0.3
2019,Таласская область,KG07,0.3
2020,Таласская область,KG07,0.3
2012,Чуйская область,KG08,0.2
2013,Чуйская область,KG08,0.2
2014,Чуйская область,KG08,0.2
2015,Чуйская область,KG08,0.2
2016,Чуйская область,KG08,0.2
2017,Чуйская область,KG08,0.2
2018,Чуйская область,KG08,0.2
2019,Чуйская область,KG08,0.2
2020,Чуйская область,KG08,0.2
