Year,SERIES,Территория,Пол,Возраст,UNIT_MEASURE,GeoCode,Value
2014,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,5.5
2015,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,5.2
2016,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,4.4
2017,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,4.2
2018,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,3.2
2019,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,2.7
2020,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,2.6
2021,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,2.6
2022,Число жертв умышленных убийств на 100 000 человек,,,,На 100 000 населения,,2.7
2014,Число жертв умышленных убийств,,,,Число,,320.0
2015,Число жертв умышленных убийств,,,,Число,,305.0
2016,Число жертв умышленных убийств,,,,Число,,267.0
2017,Число жертв умышленных убийств,,,,Число,,256.0
2018,Число жертв умышленных убийств,,,,Число,,203.0
2019,Число жертв умышленных убийств,,,,Число,,174.0
2020,Число жертв умышленных убийств,,,,Число,,172.0
2021,Число жертв умышленных убийств,,,,Число,,182.0
2022,Число жертв умышленных убийств,,,,Число,,191.0
2014,Число жертв умышленных убийств,,Мужчины,,Число,,225.0
2015,Число жертв умышленных убийств,,Мужчины,,Число,,226.0
2016,Число жертв умышленных убийств,,Мужчины,,Число,,202.0
2017,Число жертв умышленных убийств,,Мужчины,,Число,,194.0
2018,Число жертв умышленных убийств,,Мужчины,,Число,,162.0
2019,Число жертв умышленных убийств,,Мужчины,,Число,,131.0
2020,Число жертв умышленных убийств,,Мужчины,,Число,,135.0
2021,Число жертв умышленных убийств,,Мужчины,,Число,,144.0
2022,Число жертв умышленных убийств,,Мужчины,,Число,,148.0
2014,Число жертв умышленных убийств,,Женщины,,Число,,95.0
2015,Число жертв умышленных убийств,,Женщины,,Число,,79.0
2016,Число жертв умышленных убийств,,Женщины,,Число,,65.0
2017,Число жертв умышленных убийств,,Женщины,,Число,,62.0
2018,Число жертв умышленных убийств,,Женщины,,Число,,41.0
2019,Число жертв умышленных убийств,,Женщины,,Число,,43.0
2020,Число жертв умышленных убийств,,Женщины,,Число,,37.0
2021,Число жертв умышленных убийств,,Женщины,,Число,,38.0
2022,Число жертв умышленных убийств,,Женщины,,Число,,43.0
2014,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,12.0
2015,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,13.0
2016,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,11.0
2017,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,6.0
2018,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,13.0
2019,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,21.0
2020,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,19.0
2021,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,14.0
2022,Число жертв умышленных убийств,Баткенская область,,,Число,KG05,8.0
2014,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,12.0
2015,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,11.0
2016,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,9.0
2017,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,4.0
2018,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,10.0
2019,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,18.0
2020,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,16.0
2021,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,12.0
2022,Число жертв умышленных убийств,Баткенская область,Мужчины,,Число,KG05,5.0
2015,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,2.0
2016,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,2.0
2017,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,2.0
2018,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,3.0
2019,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,3.0
2020,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,3.0
2021,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,2.0
2022,Число жертв умышленных убийств,Баткенская область,Женщины,,Число,KG05,3.0
2014,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,39.0
2015,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,43.0
2016,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,30.0
2017,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,20.0
2018,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,19.0
2019,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,21.0
2020,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,31.0
2021,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,16.0
2022,Число жертв умышленных убийств,Джалал-Абадская область,,,Число,KG03,18.0
2014,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,29.0
2015,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,31.0
2016,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,22.0
2017,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,12.0
2018,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,17.0
2019,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,16.0
2020,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,23.0
2021,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,13.0
2022,Число жертв умышленных убийств,Джалал-Абадская область,Мужчины,,Число,KG03,13.0
2014,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,10.0
2015,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,12.0
2016,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,8.0
2017,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,8.0
2018,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,2.0
2019,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,5.0
2020,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,8.0
2021,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,3.0
2022,Число жертв умышленных убийств,Джалал-Абадская область,Женщины,,Число,KG03,5.0
2014,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,31.0
2015,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,28.0
2016,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,27.0
2017,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,23.0
2018,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,15.0
2019,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,18.0
2020,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,12.0
2021,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,11.0
2022,Число жертв умышленных убийств,Иссык-Кульская область,,,Число,KG02,14.0
2014,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,17.0
2015,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,19.0
2016,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,20.0
2017,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,17.0
2018,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,14.0
2019,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,15.0
2020,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,9.0
2021,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,8.0
2022,Число жертв умышленных убийств,Иссык-Кульская область,Мужчины,,Число,KG02,10.0
2014,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,14.0
2015,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,9.0
2016,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,7.0
2017,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,6.0
2018,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,1.0
2019,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,3.0
2020,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,3.0
2021,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,3.0
2022,Число жертв умышленных убийств,Иссык-Кульская область,Женщины,,Число,KG02,4.0
2014,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,14.0
2015,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,11.0
2016,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,6.0
2017,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,6.0
2018,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,5.0
2019,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,5.0
2020,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,7.0
2021,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,7.0
2022,Число жертв умышленных убийств,Нарынская область,,,Число,KG04,10.0
2014,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,14.0
2015,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,7.0
2016,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,4.0
2017,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,4.0
2018,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,3.0
2019,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,4.0
2020,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,4.0
2021,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,4.0
2022,Число жертв умышленных убийств,Нарынская область,Мужчины,,Число,KG04,8.0
2015,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,4.0
2016,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,2.0
2017,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,2.0
2018,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,2.0
2019,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,1.0
2020,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,3.0
2021,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,3.0
2022,Число жертв умышленных убийств,Нарынская область,Женщины,,Число,KG04,2.0
2014,Число жертв умышленных убийств,Ошская область,,,Число,KG06,16.0
2015,Число жертв умышленных убийств,Ошская область,,,Число,KG06,24.0
2016,Число жертв умышленных убийств,Ошская область,,,Число,KG06,22.0
2017,Число жертв умышленных убийств,Ошская область,,,Число,KG06,12.0
2018,Число жертв умышленных убийств,Ошская область,,,Число,KG06,14.0
2019,Число жертв умышленных убийств,Ошская область,,,Число,KG06,15.0
2020,Число жертв умышленных убийств,Ошская область,,,Число,KG06,11.0
2021,Число жертв умышленных убийств,Ошская область,,,Число,KG06,24.0
2022,Число жертв умышленных убийств,Ошская область,,,Число,KG06,19.0
2014,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,13.0
2015,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,21.0
2016,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,16.0
2017,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,9.0
2018,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,11.0
2019,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,10.0
2020,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,7.0
2021,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,20.0
2022,Число жертв умышленных убийств,Ошская область,Мужчины,,Число,KG06,16.0
2014,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,3.0
2015,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,3.0
2016,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,6.0
2017,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,3.0
2018,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,3.0
2019,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,5.0
2020,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,4.0
2021,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,4.0
2022,Число жертв умышленных убийств,Ошская область,Женщины,,Число,KG06,3.0
2014,Число жертв умышленных убийств,Таласская область,,,Число,KG07,11.0
2015,Число жертв умышленных убийств,Таласская область,,,Число,KG07,4.0
2016,Число жертв умышленных убийств,Таласская область,,,Число,KG07,8.0
2017,Число жертв умышленных убийств,Таласская область,,,Число,KG07,11.0
2018,Число жертв умышленных убийств,Таласская область,,,Число,KG07,8.0
2019,Число жертв умышленных убийств,Таласская область,,,Число,KG07,3.0
2020,Число жертв умышленных убийств,Таласская область,,,Число,KG07,5.0
2021,Число жертв умышленных убийств,Таласская область,,,Число,KG07,3.0
2022,Число жертв умышленных убийств,Таласская область,,,Число,KG07,6.0
2014,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,6.0
2015,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,4.0
2016,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,7.0
2017,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,9.0
2018,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,7.0
2020,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,5.0
2021,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,2.0
2022,Число жертв умышленных убийств,Таласская область,Мужчины,,Число,KG07,5.0
2014,Число жертв умышленных убийств,Таласская область,Женщины,,Число,KG07,5.0
2016,Число жертв умышленных убийств,Таласская область,Женщины,,Число,KG07,1.0
2017,Число жертв умышленных убийств,Таласская область,Женщины,,Число,KG07,2.0
2018,Число жертв умышленных убийств,Таласская область,Женщины,,Число,KG07,1.0
2019,Число жертв умышленных убийств,Таласская область,Женщины,,Число,KG07,3.0
2021,Число жертв умышленных убийств,Таласская область,Женщины,,Число,KG07,1.0
2022,Число жертв умышленных убийств,Таласская область,Женщины,,Число,KG07,1.0
2014,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,101.0
2015,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,103.0
2016,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,95.0
2017,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,89.0
2018,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,72.0
2019,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,49.0
2020,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,52.0
2021,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,60.0
2022,Число жертв умышленных убийств,Чуйская область,,,Число,KG08,62.0
2014,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,68.0
2015,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,82.0
2016,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,71.0
2017,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,78.0
2018,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,57.0
2019,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,32.0
2020,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,43.0
2021,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,50.0
2022,Число жертв умышленных убийств,Чуйская область,Мужчины,,Число,KG08,51.0
2014,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,33.0
2015,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,21.0
2016,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,24.0
2017,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,11.0
2018,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,15.0
2019,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,17.0
2020,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,9.0
2021,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,10.0
2022,Число жертв умышленных убийств,Чуйская область,Женщины,,Число,KG08,11.0
2014,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,76.0
2015,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,67.0
2016,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,55.0
2017,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,69.0
2018,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,44.0
