Year,Территория,Value
2007,,12.682241
2008,,11.85677
2009,,11.505973
2010,,10.442468
2011,,11.743119
2012,,11.831386
2013,,12.209281
2014,,11.581086
2015,,10.209622
2016,,10.170663
2017,,9.727135
2018,,20.734908
2019,,8.555572
2020,,45.0
2007,Баткенская область,14.521452
2008,Баткенская область,16.4
2009,Баткенская область,14.425428
2010,Баткенская область,14.469914
2011,Баткенская область,13.604488
2012,Баткенская область,11.659808
2013,Баткенская область,10.513141
2014,Баткенская область,10.607867
2015,Баткенская область,9.737418
2016,Баткенская область,9.543011
2017,Баткенская область,7.394366
2018,Баткенская область,16.6215
2019,Баткенская область,7.560756
2020,Баткенская область,221.0
2007,Джалал-Абадская область,11.271676
2008,Джалал-Абадская область,11.738535
2009,Джалал-Абадская область,10.985825
2010,Джалал-Абадская область,9.550419
2011,Джалал-Абадская область,13.407222
2012,Джалал-Абадская область,13.228863
2013,Джалал-Абадская область,14.223455
2014,Джалал-Абадская область,13.31045
2015,Джалал-Абадская область,12.970219
2016,Джалал-Абадская область,11.583637
2017,Джалал-Абадская область,10.880196
2018,Джалал-Абадская область,14.846672
2019,Джалал-Абадская область,18.242711
2020,Джалал-Абадская область,48.0
2007,Иссык-Кульская область,8.540686
2008,Иссык-Кульская область,8.259986
2009,Иссык-Кульская область,9.315589
2010,Иссык-Кульская область,8.22112
2011,Иссык-Кульская область,8.420239
2012,Иссык-Кульская область,8.84919
2013,Иссык-Кульская область,9.235528
2014,Иссык-Кульская область,9.274194
2015,Иссык-Кульская область,9.147425
2016,Иссык-Кульская область,10.567515
2017,Иссык-Кульская область,10.426321
2018,Иссык-Кульская область,15.030146
2019,Иссык-Кульская область,10.464548
2020,Иссык-Кульская область,113.0
2007,Нарынская область,10.864198
2008,Нарынская область,9.78836
2009,Нарынская область,11.829436
2010,Нарынская область,11.290323
2011,Нарынская область,12.066574
2012,Нарынская область,15.660685
2013,Нарынская область,16.021127
2014,Нарынская область,15.99297
2015,Нарынская область,13.204509
2016,Нарынская область,8.777429
2017,Нарынская область,6.107955
2018,Нарынская область,16.91678
2019,Нарынская область,11.142322
2020,Нарынская область,83.0
2007,Ошская область,16.491228
2008,Ошская область,15.367483
2009,Ошская область,13.901531
2010,Ошская область,9.337676
2011,Ошская область,15.801457
2012,Ошская область,15.308989
2013,Ошская область,13.977567
2014,Ошская область,13.731473
2015,Ошская область,12.995781
2016,Ошская область,13.668061
2017,Ошская область,13.422509
2018,Ошская область,18.432574
2019,Ошская область,4.635762
2020,Ошская область,90.0
2007,Таласская область,14.364035
2008,Таласская область,10.358566
2009,Таласская область,9.846154
2010,Таласская область,12.527233
2011,Таласская область,12.529002
2012,Таласская область,12.204234
2013,Таласская область,12.035851
2014,Таласская область,10.376135
2015,Таласская область,10.504775
2016,Таласская область,5.898876
2017,Таласская область,5.3125
2018,Таласская область,10.169492
2019,Таласская область,21.302578
2020,Таласская область,28.0
2007,Чуйская область,5.955414
2008,Чуйская область,5.909974
2009,Чуйская область,6.102396
2010,Чуйская область,5.576827
2011,Чуйская область,5.305596
2012,Чуйская область,5.752841
2013,Чуйская область,5.859081
2014,Чуйская область,5.610561
2015,Чуйская область,4.5309
2016,Чуйская область,5.81876
2017,Чуйская область,6.0367
2018,Чуйская область,10.008187
2019,Чуйская область,4.92865
2020,Чуйская область,11.0
2007,г. Бишкек,17.506545
2008,г. Бишкек,15.300865
2009,г. Бишкек,14.217706
2010,г. Бишкек,15.744136
2011,г. Бишкек,14.394252
2012,г. Бишкек,14.448038
2013,г. Бишкек,15.28626
2014,г. Бишкек,14.864036
2015,г. Бишкек,12.481577
2016,г. Бишкек,12.093526
2017,г. Бишкек,11.219696
2018,г. Бишкек,27.432647
2019,г. Бишкек,8.179524
2020,г. Бишкек,18.0
2007,г. Ош,14.014055
2008,г. Ош,13.525773
2009,г. Ош,12.5
2010,г. Ош,5.6182
2011,г. Ош,12.006861
2012,г. Ош,10.845431
2013,г. Ош,11.443015
2014,г. Ош,9.732748
2015,г. Ош,9.389671
2016,г. Ош,10.341767
2017,г. Ош,10.013292
2018,г. Ош,27.852349
2019,г. Ош,13.356461
2020,г. Ош,36.0
