Year,SERIES,Value
2016,Количество добровольно сданного огнестрельного оружия,153
2017,Количество добровольно сданного огнестрельного оружия,196
2018,Количество добровольно сданного огнестрельного оружия,232
2019,Количество добровольно сданного огнестрельного оружия,146
2020,Количество добровольно сданного огнестрельного оружия,158
2016,Количество изъятого огнестрельного оружия,217
2017,Количество изъятого огнестрельного оружия,399
2018,Количество изъятого огнестрельного оружия,296
2019,Количество изъятого огнестрельного оружия,127
2020,Количество изъятого огнестрельного оружия,397
