Year,Характер данных,SERIES,DATA_LAST_UPDATE,Value
2016,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,60.65
2017,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,58.65
2018,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,60.575
2019,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,60.575
2020,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,56.38333
2021,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,64.71667
2022,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,70.78333
2023,Данные на основе глобального мониторинга,"Индекс результативности источников данных (Показатели статистической результативности, столп 4)",2025-05-19T00:00:00,66.61667
2016,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,85.0
2017,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,85.0
2018,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,70.0
2019,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,85.0
2020,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,85.0
2021,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,80.0
2022,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,80.0
2023,Данные на основе глобального мониторинга,"Индекс результативности статистической инфраструктуры (Показатели статистической результативности, столп 5)",2025-05-19T00:00:00,85.0
2022,Оценочные данные,Индекс охвата Инвентаризации открытых данных (ODIN),2025-04-29T00:00:00,60.1
2024,Оценочные данные,Индекс охвата Инвентаризации открытых данных (ODIN),2025-04-29T00:00:00,66.6
