Year,Характер данных,Сноски на уровне наблюдения,SERIES,Value
2019,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans with funding from donors,"Страны, имеющие национальный статистический план, с финансированием от доноров (1 = ДА; 0 = НЕТ)",1
2020,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans with funding from donors,"Страны, имеющие национальный статистический план, с финансированием от доноров (1 = ДА; 0 = НЕТ)",1
2021,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans with funding from donors,"Страны, имеющие национальный статистический план, с финансированием от доноров (1 = ДА; 0 = НЕТ)",1
2022,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от доноров (1 = ДА; 0 = НЕТ)",NaN
2023,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от доноров (1 = ДА; 0 = НЕТ)",NaN
2024,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от доноров (1 = ДА; 0 = НЕТ)",NaN
2019,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans with funding from donors,"Страны, имеющие национальный статистический план, с финансированием от Правительства (1 = ДА; 0 = НЕТ)",1
2020,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans with funding from donors,"Страны, имеющие национальный статистический план, с финансированием от Правительства (1 = ДА; 0 = НЕТ)",1
2021,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans with funding from donors,"Страны, имеющие национальный статистический план, с финансированием от Правительства (1 = ДА; 0 = НЕТ)",1
2022,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от Правительства (1 = ДА; 0 = НЕТ)",NaN
2023,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от Правительства (1 = ДА; 0 = НЕТ)",NaN
2024,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от Правительства (1 = ДА; 0 = НЕТ)",NaN
2019,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от других источников (1 = ДА; 0 = НЕТ)",NaN
2020,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от других источников (1 = ДА; 0 = НЕТ)",NaN
2021,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от других источников (1 = ДА; 0 = НЕТ)",NaN
2022,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от других источников (1 = ДА; 0 = НЕТ)",NaN
2023,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от других источников (1 = ДА; 0 = НЕТ)",NaN
2024,Данные отсутствуют,Data not available,"Страны, имеющие национальный статистический план, с финансированием от других источников (1 = ДА; 0 = НЕТ)",NaN
2019,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are fully funded,"Страны, имеющие полностью финансированный национальный статистический план (1 = ДА; 0 = НЕТ)",1
2020,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are fully funded,"Страны, имеющие полностью финансированный национальный статистический план (1 = ДА; 0 = НЕТ)",1
2021,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are fully funded,"Страны, имеющие полностью финансированный национальный статистический план (1 = ДА; 0 = НЕТ)",1
2022,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are fully funded,"Страны, имеющие полностью финансированный национальный статистический план (1 = ДА; 0 = НЕТ)",1
2023,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are fully funded,"Страны, имеющие полностью финансированный национальный статистический план (1 = ДА; 0 = НЕТ)",1
2024,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are fully funded,"Страны, имеющие полностью финансированный национальный статистический план (1 = ДА; 0 = НЕТ)",1
2019,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are under implementation,"Страны имеющие национальные статистические планы, которые находятся в стадии реализации (1 = ДА; 0 = НЕТ)",1
2020,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are under implementation,"Страны имеющие национальные статистические планы, которые находятся в стадии реализации (1 = ДА; 0 = НЕТ)",1
2021,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are under implementation,"Страны имеющие национальные статистические планы, которые находятся в стадии реализации (1 = ДА; 0 = НЕТ)",1
2022,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are under implementation,"Страны имеющие национальные статистические планы, которые находятся в стадии реализации (1 = ДА; 0 = НЕТ)",1
2023,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are under implementation,"Страны имеющие национальные статистические планы, которые находятся в стадии реализации (1 = ДА; 0 = НЕТ)",1
2024,Данные скорректированы страной,Observation value represents the number of countries with national statistical plans that are under implementation,"Страны имеющие национальные статистические планы, которые находятся в стадии реализации (1 = ДА; 0 = НЕТ)",1
