Year,Сноски на уровне наблюдения,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",113.136213
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",97.270399
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",43.879658
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",26.618205
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",30.399847
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",34.809654
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",59.522574
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",48.919251
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",61.509357
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",57.471143
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",58.475396
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",93.415315
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",112.91918
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",160.237715
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",82.118972
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",105.218654
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",175.685753
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",93.614179
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",87.968923
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",101.995436
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",61.198975
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",77.889242
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",89.822147
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",96.525937
