Year,Тип продукта,Value
2018,Зерно и продукты их переработки,16.602255
2019,Зерно и продукты их переработки,18.656794
2020,Зерно и продукты их переработки,21.552025
2021,Зерно и продукты их переработки,35.5
2022,Зерно и продукты их переработки,32.9
2023,Зерно и продукты их переработки,34.8
2018," Пшеница и продукты ее переработки, в муке",47.264166
2019," Пшеница и продукты ее переработки, в муке",52.844311
2020," Пшеница и продукты ее переработки, в муке",57.606104
2021," Пшеница и продукты ее переработки, в муке",104.9
2022," Пшеница и продукты ее переработки, в муке",75.4
2023," Пшеница и продукты ее переработки, в муке",108.5
2018,Плоды-ягоды и продукты их переработки,37.907717
2019,Плоды-ягоды и продукты их переработки,68.831169
2020,Плоды-ягоды и продукты их переработки,46.079137
2021,Плоды-ягоды и продукты их переработки,66.5
2022,Плоды-ягоды и продукты их переработки,66.1
2023,Плоды-ягоды и продукты их переработки,81.2
2018,Картофель и продукты их переработки,0.72584
2019,Картофель и продукты их переработки,0.982676
2020,Картофель и продукты их переработки,1.311031
2021,Картофель и продукты их переработки,2.72283
2022,Картофель и продукты их переработки,3.2
2023,Картофель и продукты их переработки,2.5
2018,Овощебахчевые и продукты их переработки,3.936012
2019,Овощебахчевые и продукты их переработки,6.009859
2020,Овощебахчевые и продукты их переработки,7.036691
2021,Овощебахчевые и продукты их переработки,8.692405
2022,Овощебахчевые и продукты их переработки,10.6
2023,Овощебахчевые и продукты их переработки,11.1
2018,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),15.047447
2019,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),18.656057
2020,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),16.623264
2021,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),19.2
2022,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),23.5
2023,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),23.4
2018,Молоко и молочные продукты (в пересчете на молоко),1.01277
2019,Молоко и молочные продукты (в пересчете на молоко),1.799975
2020,Молоко и молочные продукты (в пересчете на молоко),3.22542
2021,Молоко и молочные продукты (в пересчете на молоко),1.8
2022,Молоко и молочные продукты (в пересчете на молоко),1.8
2023,Молоко и молочные продукты (в пересчете на молоко),2.0
2018,Яйца  и продукты их переработки,0.623375
2019,Яйца  и продукты их переработки,6.779139
2020,Яйца  и продукты их переработки,11.599852
2021,Яйца  и продукты их переработки,16.3
2022,Яйца  и продукты их переработки,29.2
2023,Яйца  и продукты их переработки,32.3
2018,Сахар,66.938776
2019,Сахар,56.2249
2020,Сахар,49.707602
2021,Сахар,142.6
2022,Сахар,110.7
2023,Сахар,89.0
2018,Растительное масло,396.581197
2019,Растительное масло,528.723404
2020,Растительное масло,1725.0
2021,Растительное масло,1018.6
2022,Растительное масло,1120.0
2023,Растительное масло,989.2
2018,Рыба и продукты их переработки,171.187427
2019,Рыба и продукты их переработки,109.830273
2020,Рыба и продукты их переработки,84.633344
2021,Рыба и продукты их переработки,30.1
2022,Рыба и продукты их переработки,14.5
2023,Рыба и продукты их переработки,11.0
