Year,Территория,Value
2007,,131.547158
2008,,120.913387
2009,,92.628335
2010,,127.019995
2011,,103.485746
2012,,104.494474
2013,,101.769602
2014,,113.857081
2015,,95.794976
2016,,94.980194
2017,,102.713332
2018,,97.394314
2019,,105.744831
2020,,109.72213
2007,Баткенская область,129.740223
2008,Баткенская область,122.152556
2009,Баткенская область,98.079552
2010,Баткенская область,134.872599
2011,Баткенская область,108.143261
2012,Баткенская область,104.669453
2013,Баткенская область,103.067841
2014,Баткенская область,113.826871
2015,Баткенская область,92.841081
2016,Баткенская область,95.516291
2017,Баткенская область,104.587578
2018,Баткенская область,94.575897
2019,Баткенская область,110.412587
2020,Баткенская область,108.449054
2007,Джалал-Абадская область,131.474644
2008,Джалал-Абадская область,133.108773
2009,Джалал-Абадская область,94.285732
2010,Джалал-Абадская область,133.48734
2011,Джалал-Абадская область,105.19525
2012,Джалал-Абадская область,104.995426
2013,Джалал-Абадская область,103.702848
2014,Джалал-Абадская область,118.268743
2015,Джалал-Абадская область,94.347779
2016,Джалал-Абадская область,95.233819
2017,Джалал-Абадская область,103.296213
2018,Джалал-Абадская область,99.437848
2019,Джалал-Абадская область,106.897463
2020,Джалал-Абадская область,109.90983
2007,Иссык-Кульская область,136.022851
2008,Иссык-Кульская область,116.499725
2009,Иссык-Кульская область,90.4746
2010,Иссык-Кульская область,126.103007
2011,Иссык-Кульская область,99.413814
2012,Иссык-Кульская область,105.487767
2013,Иссык-Кульская область,96.74539
2014,Иссык-Кульская область,119.674506
2015,Иссык-Кульская область,92.938571
2016,Иссык-Кульская область,97.869284
2017,Иссык-Кульская область,103.318964
2018,Иссык-Кульская область,97.328443
2019,Иссык-Кульская область,106.659795
2020,Иссык-Кульская область,108.406065
2007,Нарынская область,129.698247
2008,Нарынская область,110.814902
2009,Нарынская область,92.921575
2010,Нарынская область,133.150078
2011,Нарынская область,103.232521
2012,Нарынская область,107.926877
2013,Нарынская область,98.290589
2014,Нарынская область,114.563967
2015,Нарынская область,98.213637
2016,Нарынская область,94.459452
2017,Нарынская область,100.774043
2018,Нарынская область,101.660059
2019,Нарынская область,106.016926
2020,Нарынская область,109.401619
2007,Ошская область,130.503251
2008,Ошская область,132.389129
2009,Ошская область,91.207604
2010,Ошская область,133.714976
2011,Ошская область,103.635522
2012,Ошская область,106.985188
2013,Ошская область,104.5544
2014,Ошская область,118.553298
2015,Ошская область,93.999692
2016,Ошская область,94.914537
2017,Ошская область,109.47206
2018,Ошская область,96.104604
2019,Ошская область,107.312397
2020,Ошская область,107.711557
2007,Таласская область,131.559431
2008,Таласская область,117.520012
2009,Таласская область,90.950636
2010,Таласская область,123.024848
2011,Таласская область,105.793162
2012,Таласская область,102.033354
2013,Таласская область,100.612627
2014,Таласская область,116.089417
2015,Таласская область,93.146935
2016,Таласская область,92.497165
2017,Таласская область,104.166923
2018,Таласская область,96.802565
2019,Таласская область,106.172057
2020,Таласская область,111.789216
2007,Чуйская область,130.314372
2008,Чуйская область,123.411415
2009,Чуйская область,94.365695
2010,Чуйская область,128.672851
2011,Чуйская область,102.493938
2012,Чуйская область,103.92528
2013,Чуйская область,102.312574
2014,Чуйская область,114.643974
2015,Чуйская область,95.710818
2016,Чуйская область,95.89276
2017,Чуйская область,102.559508
2018,Чуйская область,96.302209
2019,Чуйская область,105.8531
2020,Чуйская область,111.39254
2007,г. Бишкек,131.950406
2008,г. Бишкек,117.83137
2009,г. Бишкек,92.340833
2010,г. Бишкек,123.722482
2011,г. Бишкек,103.406938
2012,г. Бишкек,103.832086
2013,г. Бишкек,101.221964
2014,г. Бишкек,110.997582
2015,г. Бишкек,97.00121
2016,г. Бишкек,94.519576
2017,г. Бишкек,101.578366
2018,г. Бишкек,97.346546
2019,г. Бишкек,105.61571
2020,г. Бишкек,110.449192
2007,г. Ош,130.503251
2008,г. Ош,132.389129
2009,г. Ош,91.207604
2010,г. Ош,133.714976
2011,г. Ош,103.635522
2012,г. Ош,106.985188
2013,г. Ош,104.5544
2014,г. Ош,118.553298
2015,г. Ош,93.999692
2016,г. Ош,94.914537
2017,г. Ош,103.95699
2018,г. Ош,98.011361
2019,г. Ош,102.470488
2020,г. Ош,106.898265
