Year,Территория,Value
2007,,98.436866
2008,,98.483992
2009,,98.495642
2010,,98.309687
2011,,98.622407
2012,,98.838817
2013,,98.985022
2014,,99.176724
2015,,99.230049
2016,,99.185581
2017,,99.3
2018,,99.3
2019,,99.348833
2020,,99.3
2007,Баткенская область,97.74409
2008,Баткенская область,97.474925
2009,Баткенская область,98.874508
2010,Баткенская область,96.861772
2011,Баткенская область,97.13801
2012,Баткенская область,98.465778
2013,Баткенская область,99.080933
2014,Баткенская область,99.356181
2015,Баткенская область,99.261631
2016,Баткенская область,98.979592
2017,Баткенская область,99.2
2018,Баткенская область,99.4
2019,Баткенская область,99.335614
2020,Баткенская область,99.371421
2007,Джалал-Абадская область,98.959241
2008,Джалал-Абадская область,98.575021
2009,Джалал-Абадская область,98.923445
2010,Джалал-Абадская область,98.940709
2011,Джалал-Абадская область,99.115744
2012,Джалал-Абадская область,99.045346
2013,Джалал-Абадская область,99.080837
2014,Джалал-Абадская область,99.16137
2015,Джалал-Абадская область,99.299119
2016,Джалал-Абадская область,99.265036
2017,Джалал-Абадская область,99.4
2018,Джалал-Абадская область,99.4
2019,Джалал-Абадская область,99.331319
2020,Джалал-Абадская область,99.319469
2007,Иссык-Кульская область,99.294245
2008,Иссык-Кульская область,99.008513
2009,Иссык-Кульская область,99.274602
2010,Иссык-Кульская область,99.414531
2011,Иссык-Кульская область,99.463221
2012,Иссык-Кульская область,99.435996
2013,Иссык-Кульская область,99.427262
2014,Иссык-Кульская область,99.451005
2015,Иссык-Кульская область,99.391542
2016,Иссык-Кульская область,99.422551
2017,Иссык-Кульская область,99.5
2018,Иссык-Кульская область,99.5
2019,Иссык-Кульская область,99.485976
2020,Иссык-Кульская область,99.442213
2007,Нарынская область,97.720601
2008,Нарынская область,98.116039
2009,Нарынская область,98.275296
2010,Нарынская область,97.822417
2011,Нарынская область,98.680426
2012,Нарынская область,98.696845
2013,Нарынская область,98.717291
2014,Нарынская область,98.817416
2015,Нарынская область,98.774112
2016,Нарынская область,98.787433
2017,Нарынская область,99.0
2018,Нарынская область,99.2
2019,Нарынская область,99.123344
2020,Нарынская область,98.766882
2007,Ошская область,96.877363
2008,Ошская область,97.394325
2009,Ошская область,96.451545
2010,Ошская область,96.52909
2011,Ошская область,97.299639
2012,Ошская область,97.817694
2013,Ошская область,98.222659
2014,Ошская область,98.874035
2015,Ошская область,99.087129
2016,Ошская область,99.070282
2017,Ошская область,99.1
2018,Ошская область,99.1
2019,Ошская область,99.216847
2020,Ошская область,99.212798
2007,Таласская область,99.285714
2008,Таласская область,99.252883
2009,Таласская область,99.270189
2010,Таласская область,99.485821
2011,Таласская область,99.688576
2012,Таласская область,99.660672
2013,Таласская область,99.694501
2014,Таласская область,99.680296
2015,Таласская область,99.729775
2016,Таласская область,99.713877
2017,Таласская область,99.5
2018,Таласская область,99.7
2019,Таласская область,99.610751
2020,Таласская область,99.79916
2007,Чуйская область,99.023641
2008,Чуйская область,99.18247
2009,Чуйская область,99.161879
2010,Чуйская область,99.199707
2011,Чуйская область,99.107284
2012,Чуйская область,99.152542
2013,Чуйская область,99.134263
2014,Чуйская область,99.23354
2015,Чуйская область,99.163311
2016,Чуйская область,99.176269
2017,Чуйская область,99.2
2018,Чуйская область,99.2
2019,Чуйская область,99.366992
2020,Чуйская область,99.146992
2007,г. Бишкек,99.435435
2008,г. Бишкек,99.586624
2009,г. Бишкек,99.621193
2010,г. Бишкек,99.598067
2011,г. Бишкек,99.46062
2012,г. Бишкек,99.614421
2013,г. Бишкек,99.611183
2014,г. Бишкек,99.609444
2015,г. Бишкек,99.494367
2016,г. Бишкек,99.479551
2017,г. Бишкек,99.5
2018,г. Бишкек,99.6
2019,г. Бишкек,99.478079
2020,г. Бишкек,99.53837
2007,г. Ош,98.916283
2008,г. Ош,98.982971
2009,г. Ош,98.918685
2010,г. Ош,97.390903
2011,г. Ош,99.342208
2012,г. Ош,98.973247
2013,г. Ош,99.300699
2014,г. Ош,99.388163
2015,г. Ош,99.258076
2016,г. Ош,99.319952
2017,г. Ош,99.5
2018,г. Ош,99.7
2019,г. Ош,99.537118
2020,г. Ош,99.765564
