Year,Территория,Пол,GeoCode,Value
2007,,,,35.3
2008,,,,31.5
2009,,,,29.3
2010,,,,26.5
2011,,,,24.54
2012,,,,23.4
2013,,,,23.29
2014,,,,23.14
2015,,,,21.5
2016,,,,19.8
2017,,,,18.5
2018,,,,17.6
2019,,,,17.5
2020,,,,16.7
2021,,,,179.0
2010,,Мужчины,,29.2
2011,,Мужчины,,27.13
2012,,Мужчины,,25.94
2013,,Мужчины,,25.72
2014,,Мужчины,,24.9
2015,,Мужчины,,23.2
2016,,Мужчины,,21.1
2017,,Мужчины,,20.3
2018,,Мужчины,,19.4
2019,,Мужчины,,19.2
2020,,Мужчины,,17.8
2021,,Мужчины,,197.0
2010,,Женщины,,23.6
2011,,Женщины,,21.81
2012,,Женщины,,20.78
2013,,Женщины,,20.72
2014,,Женщины,,21.2
2015,,Женщины,,19.6
2016,,Женщины,,18.4
2017,,Женщины,,16.6
2018,,Женщины,,15.6
2019,,Женщины,,15.8
2020,,Женщины,,15.6
2021,,Женщины,,161.0
2007,Баткенская область,,KG05,40.3
2008,Баткенская область,,KG05,39.7
2009,Баткенская область,,KG05,33.7
2010,Баткенская область,,KG05,34.3
2011,Баткенская область,,KG05,28.73
2012,Баткенская область,,KG05,25.9
2013,Баткенская область,,KG05,25.75
2014,Баткенская область,,KG05,23.6
2015,Баткенская область,,KG05,21.8
2016,Баткенская область,,KG05,18.8
2017,Баткенская область,,KG05,18.6
2018,Баткенская область,,KG05,14.9
2019,Баткенская область,,KG05,17.7
2020,Баткенская область,,KG05,16.7
2021,Баткенская область,,KG05,169.0
2010,Баткенская область,Мужчины,KG05,38.0
2011,Баткенская область,Мужчины,KG05,30.39
2012,Баткенская область,Мужчины,KG05,30.3
2013,Баткенская область,Мужчины,KG05,28.79
2014,Баткенская область,Мужчины,KG05,26.2
2015,Баткенская область,Мужчины,KG05,23.3
2016,Баткенская область,Мужчины,KG05,20.0
2017,Баткенская область,Мужчины,KG05,19.5
2018,Баткенская область,Мужчины,KG05,16.0
2019,Баткенская область,Мужчины,KG05,18.5
2020,Баткенская область,Мужчины,KG05,17.1
2021,Баткенская область,Мужчины,KG05,173.0
2010,Баткенская область,Женщины,KG05,30.5
2011,Баткенская область,Женщины,KG05,26.96
2012,Баткенская область,Женщины,KG05,21.3
2013,Баткенская область,Женщины,KG05,22.48
2014,Баткенская область,Женщины,KG05,20.8
2015,Баткенская область,Женщины,KG05,20.1
2016,Баткенская область,Женщины,KG05,18.4
2017,Баткенская область,Женщины,KG05,17.7
2018,Баткенская область,Женщины,KG05,13.7
2019,Баткенская область,Женщины,KG05,16.8
2020,Баткенская область,Женщины,KG05,16.3
2021,Баткенская область,Женщины,KG05,164.0
2007,Джалал-Абадская область,,KG03,30.8
2008,Джалал-Абадская область,,KG03,26.2
2009,Джалал-Абадская область,,KG03,24.5
2010,Джалал-Абадская область,,KG03,21.9
2011,Джалал-Абадская область,,KG03,20.65
2012,Джалал-Абадская область,,KG03,19.8
2013,Джалал-Абадская область,,KG03,20.95
2014,Джалал-Абадская область,,KG03,21.9
2015,Джалал-Абадская область,,KG03,21.1
2016,Джалал-Абадская область,,KG03,19.8
2017,Джалал-Абадская область,,KG03,17.2
2018,Джалал-Абадская область,,KG03,15.7
2019,Джалал-Абадская область,,KG03,16.2
2020,Джалал-Абадская область,,KG03,15.5
2021,Джалал-Абадская область,,KG03,174.0
2010,Джалал-Абадская область,Мужчины,KG03,23.8
2011,Джалал-Абадская область,Мужчины,KG03,23.26
2012,Джалал-Абадская область,Мужчины,KG03,22.4
2013,Джалал-Абадская область,Мужчины,KG03,21.53
2014,Джалал-Абадская область,Мужчины,KG03,23.3
2015,Джалал-Абадская область,Мужчины,KG03,22.5
2016,Джалал-Абадская область,Мужчины,KG03,21.0
2017,Джалал-Абадская область,Мужчины,KG03,18.9
2018,Джалал-Абадская область,Мужчины,KG03,16.3
2019,Джалал-Абадская область,Мужчины,KG03,16.6
2020,Джалал-Абадская область,Мужчины,KG03,16.2
2021,Джалал-Абадская область,Мужчины,KG03,181.0
2010,Джалал-Абадская область,Женщины,KG03,19.9
2011,Джалал-Абадская область,Женщины,KG03,17.91
2012,Джалал-Абадская область,Женщины,KG03,17.1
2013,Джалал-Абадская область,Женщины,KG03,20.34
2014,Джалал-Абадская область,Женщины,KG03,20.3
