Year,Тип местности,Value
2015,,3.19
2016,,3.06
2017,,2.95
2018,,3.28
2019,,3.33
2020,,3.05
2021,,2.89
2022,,2.81
2023,,2.71
2024,,2.6
2015,Городская,2.8
2016,Городская,2.76
2017,Городская,2.84
2018,Городская,3.36
2019,Городская,3.63
2020,Городская,3.36
2021,Городская,3.57
2022,Городская,2.93
2023,Городская,1.91
2024,Городская,1.98
2015,Сельская,3.44
2016,Сельская,3.26
2017,Сельская,3.05
2018,Сельская,3.28
2019,Сельская,3.22
2020,Сельская,2.92
2021,Сельская,2.58
2022,Сельская,2.73
2023,Сельская,3.23
2024,Сельская,3.13
