Year,Территория,Пол,GeoCode,Value
2007,,,,92
2008,,,,89
2009,,,,85
2010,,,,92
2011,,,,85
2012,,,,93
2013,,,,78
2014,,,,79
2015,,,,70
2016,,,,69
2017,,,,63
2018,,,,60
2019,,,,58
2020,,,,46
2021,,,,58
2022,,,,49
2023,,,,48
2007,,Мужчины,,142
2008,,Мужчины,,144
2009,,Мужчины,,136
2010,,Мужчины,,147
2011,,Мужчины,,133
2012,,Мужчины,,145
2013,,Мужчины,,123
2014,,Мужчины,,124
2015,,Мужчины,,111
2016,,Мужчины,,110
2017,,Мужчины,,102
2018,,Мужчины,,97
2019,,Мужчины,,94
2020,,Мужчины,,71
2021,,Мужчины,,88
2022,,Мужчины,,81
2023,,Мужчины,,78
2007,,Женщины,,43
2008,,Женщины,,35
2009,,Женщины,,35
2010,,Женщины,,38
2011,,Женщины,,39
2012,,Женщины,,43
2013,,Женщины,,34
2014,,Женщины,,35
2015,,Женщины,,30
2016,,Женщины,,29
2017,,Женщины,,25
2018,,Женщины,,24
2019,,Женщины,,23
2020,,Женщины,,21
2021,,Женщины,,28
2022,,Женщины,,18
2023,,Женщины,,19
2007,Баткенская область,,KG05,66
2008,Баткенская область,,KG05,85
2009,Баткенская область,,KG05,74
2010,Баткенская область,,KG05,64
2011,Баткенская область,,KG05,85
2012,Баткенская область,,KG05,97
2013,Баткенская область,,KG05,69
2014,Баткенская область,,KG05,61
2015,Баткенская область,,KG05,82
2016,Баткенская область,,KG05,58
2017,Баткенская область,,KG05,61
2018,Баткенская область,,KG05,75
2019,Баткенская область,,KG05,68
2020,Баткенская область,,KG05,42
2021,Баткенская область,,KG05,47
2022,Баткенская область,,KG05,34
2023,Баткенская область,,KG05,57
2007,Баткенская область,Мужчины,KG05,93
2008,Баткенская область,Мужчины,KG05,134
2009,Баткенская область,Мужчины,KG05,91
2010,Баткенская область,Мужчины,KG05,76
2011,Баткенская область,Мужчины,KG05,133
2012,Баткенская область,Мужчины,KG05,143
2013,Баткенская область,Мужчины,KG05,102
2014,Баткенская область,Мужчины,KG05,83
2015,Баткенская область,Мужчины,KG05,109
2016,Баткенская область,Мужчины,KG05,95
2017,Баткенская область,Мужчины,KG05,89
2018,Баткенская область,Мужчины,KG05,98
2019,Баткенская область,Мужчины,KG05,96
2020,Баткенская область,Мужчины,KG05,58
2021,Баткенская область,Мужчины,KG05,43
2022,Баткенская область,Мужчины,KG05,42
2023,Баткенская область,Мужчины,KG05,93
2007,Баткенская область,Женщины,KG05,39
2008,Баткенская область,Женщины,KG05,34
2009,Баткенская область,Женщины,KG05,57
2010,Баткенская область,Женщины,KG05,51
