Year,Территория,Пол,Value
2010,,,13.4
2013,,,8.5
2014,,,7.7
2015,,,6.7
2016,,,7.6
2017,,,4.3
2018,,,4.5
2019,,,2.5
2010,,Женщины,1.7
2013,,Женщины,0.4
2014,,Женщины,1.1
2015,,Женщины,0.4
2016,,Женщины,0.5
2017,,Женщины,0.3
2018,,Женщины,0.4
2019,,Женщины,0.1
2010,,Мужчины,25.3
2013,,Мужчины,16.8
2014,,Мужчины,14.5
2015,,Мужчины,13.1
2016,,Мужчины,14.8
2017,,Мужчины,8.5
2018,,Мужчины,8.8
2019,,Мужчины,4.9
2010,Баткенская область,,1.6
2013,Баткенская область,,1.5
2014,Баткенская область,,1.3
2015,Баткенская область,,1.2
2016,Баткенская область,,2.2
2017,Баткенская область,,0.8
2018,Баткенская область,,0.4
2019,Баткенская область,,0.2
2016,Баткенская область,Женщины,0.4
2018,Баткенская область,Женщины,0.0
2019,Баткенская область,Женщины,0.0
2010,Баткенская область,Мужчины,3.1
2013,Баткенская область,Мужчины,3.0
2014,Баткенская область,Мужчины,2.5
2015,Баткенская область,Мужчины,2.4
2016,Баткенская область,Мужчины,3.9
2017,Баткенская область,Мужчины,1.5
2018,Баткенская область,Мужчины,0.8
2019,Баткенская область,Мужчины,0.4
2010,Джалал-Абадская область,,5.2
2013,Джалал-Абадская область,,3.2
2014,Джалал-Абадская область,,2.3
2015,Джалал-Абадская область,,1.2
2016,Джалал-Абадская область,,2.0
2017,Джалал-Абадская область,,1.9
2018,Джалал-Абадская область,,1.5
2019,Джалал-Абадская область,,0.7
2010,Джалал-Абадская область,Женщины,0.4
2014,Джалал-Абадская область,Женщины,0.2
2017,Джалал-Абадская область,Женщины,0.2
2018,Джалал-Абадская область,Женщины,0.0
2019,Джалал-Абадская область,Женщины,0.0
2010,Джалал-Абадская область,Мужчины,10.1
2013,Джалал-Абадская область,Мужчины,6.4
2014,Джалал-Абадская область,Мужчины,4.5
2015,Джалал-Абадская область,Мужчины,2.5
2016,Джалал-Абадская область,Мужчины,4.0
2017,Джалал-Абадская область,Мужчины,3.7
2018,Джалал-Абадская область,Мужчины,3.0
2019,Джалал-Абадская область,Мужчины,1.3
2010,Иссык-Кульская область,,2.9
2013,Иссык-Кульская область,,4.8
2014,Иссык-Кульская область,,5.0
2015,Иссык-Кульская область,,6.4
