Year,Территория,Пол,Value
2010,,,2.2
2011,,,2.216363
2012,,,2.184656
2013,,,2.170665
2014,,,2.1
2015,,,2.1
2016,,,2.1
2017,,,2.0
2018,,,2.0
2019,,,1.998765
2020,,,2.0
2021,,,1.894085
2010,,Женщины,2.9
2011,,Женщины,2.947887
2012,,Женщины,2.8998
2013,,Женщины,2.852715
2014,,Женщины,2.8
2015,,Женщины,2.8
2016,,Женщины,2.8
2017,,Женщины,2.7
2018,,Женщины,2.7
2019,,Женщины,2.659527
2020,,Женщины,2.6
2021,,Женщины,2.563989
2010,,Мужчины,1.5
2011,,Мужчины,1.466587
2012,,Мужчины,1.452767
2013,,Мужчины,1.473458
2014,,Мужчины,1.4
2015,,Мужчины,1.4
2016,,Мужчины,1.4
2017,,Мужчины,1.4
2018,,Мужчины,1.3
2019,,Мужчины,1.328142
2020,,Мужчины,1.3
2021,,Мужчины,1.214198
2010,Баткенская область,,1.4
2011,Баткенская область,,1.405818
2012,Баткенская область,,1.457866
2013,Баткенская область,,1.488292
2014,Баткенская область,,1.5
2015,Баткенская область,,1.5
2016,Баткенская область,,1.5
2017,Баткенская область,,1.5
2018,Баткенская область,,1.5
2019,Баткенская область,,1.475719
2020,Баткенская область,,1.5
2021,Баткенская область,,1.449919
2010,Баткенская область,Женщины,1.3
2011,Баткенская область,Женщины,1.366139
2012,Баткенская область,Женщины,1.403475
2013,Баткенская область,Женщины,1.493532
2014,Баткенская область,Женщины,1.6
2015,Баткенская область,Женщины,1.5
2016,Баткенская область,Женщины,1.6
2017,Баткенская область,Женщины,1.6
2018,Баткенская область,Женщины,1.6
2019,Баткенская область,Женщины,1.650071
2020,Баткенская область,Женщины,1.6
2021,Баткенская область,Женщины,1.739898
2010,Баткенская область,Мужчины,1.4
2011,Баткенская область,Мужчины,1.444325
2012,Баткенская область,Мужчины,1.510587
2013,Баткенская область,Мужчины,1.48322
2014,Баткенская область,Мужчины,1.4
2015,Баткенская область,Мужчины,1.4
2016,Баткенская область,Мужчины,1.4
2017,Баткенская область,Мужчины,1.4
2018,Баткенская область,Мужчины,1.4
2019,Баткенская область,Мужчины,1.30781
2020,Баткенская область,Мужчины,1.3
2021,Баткенская область,Мужчины,1.170483
2010,Джалал-Абадская область,,1.3
2011,Джалал-Абадская область,,1.3204
2012,Джалал-Абадская область,,1.317923
2013,Джалал-Абадская область,,1.329157
2014,Джалал-Абадская область,,1.3
2015,Джалал-Абадская область,,1.3
