Year,Сноски на уровне наблюдения,COMPOSITE_BREAKDOWN,Value
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).","Способность соблюдать ММСП: Национальное законодательство, политика и финансирование",25
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Координация и контакты с национальными координаторами,33
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Эпиднадзор,60
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП:  Реагирование,57
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Готовность,0
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Информирование о рисках,43
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Кадровые ресурсы,0
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Лабораторные службы,80
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Пункты въезда,15
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).","Способность соблюдать ММСП: Происшествия, связанные с зоонозами",100
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Безопасность пищевых продуктов,92
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).","Способность соблюдать ММСП: Происшествия, связанные с химическими веществами",75
2011,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Способность соблюдать ММСП: Радиационные и ядерные чрезвычайные ситуации,75
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Законодательство и финансирование,53
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Законодательство и финансирование,53
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Законодательство и финансирование,53
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Координация по ММСП и функции Национального контактного пункта,60
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Координация по ММСП и функции Национального контактного пункта,50
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Координация по ММСП и функции Национального контактного пункта,50
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Зоонозные события и взаимодействие человек–животное,80
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Зоонозные события и взаимодействие человек–животное,80
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Зоонозные события и взаимодействие человек–животное,80
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Безопасность пищевых продуктов,40
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Безопасность пищевых продуктов,0
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Безопасность пищевых продуктов,40
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Лабораторная система,60
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Лабораторная система,53
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Лабораторная система,53
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Эпидемиологический надзор,80
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Эпидемиологический надзор,80
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Эпидемиологический надзор,80
2018,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Человеческие ресурсы,60
2019,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Человеческие ресурсы,20
2020,"From 2010 – 2017, States Parties used the IHR monitoring questionnaire. The report is available in the e-SPAR platform (https://extranet.who.int/e-spar/ ).",Годовой отчет государства-участника: Человеческие ресурсы,20
