Year,Территория,GeoCode,Value
2016-A1,,,96.5
2017-A1,,,97.8
2018-A1,,,99.1
2019-A1,,,96.0
2020-A1,,,96.5
2021-A1,,,97.8
2016-A1,Баткенская область,KG05,97.9
2017-A1,Баткенская область,KG05,99.1
2018-A1,Баткенская область,KG05,96.5
2019-A1,Баткенская область,KG05,98.8
2020-A1,Баткенская область,KG05,98.5
2021-A1,Баткенская область,KG05,97.9
2016-A1,Джалал-Абадская область,KG03,94.4
2017-A1,Джалал-Абадская область,KG03,97.1
2018-A1,Джалал-Абадская область,KG03,97.6
2019-A1,Джалал-Абадская область,KG03,95.1
2020-A1,Джалал-Абадская область,KG03,96.8
2021-A1,Джалал-Абадская область,KG03,96.8
2016-A1,Иссык-Кульская область,KG02,95.8
2017-A1,Иссык-Кульская область,KG02,97.1
2018-A1,Иссык-Кульская область,KG02,99.4
2019-A1,Иссык-Кульская область,KG02,91.1
2020-A1,Иссык-Кульская область,KG02,92.3
2021-A1,Иссык-Кульская область,KG02,97.0
2016-A1,Нарынская область,KG04,94.9
2017-A1,Нарынская область,KG04,93.7
2018-A1,Нарынская область,KG04,95.5
2019-A1,Нарынская область,KG04,94.7
2020-A1,Нарынская область,KG04,96.6
2021-A1,Нарынская область,KG04,95.5
2016-A1,Ошская область,KG06,92.4
2017-A1,Ошская область,KG06,94.8
2018-A1,Ошская область,KG06,94.2
2019-A1,Ошская область,KG06,96.1
2020-A1,Ошская область,KG06,96.3
2021-A1,Ошская область,KG06,97.1
2016-A1,Таласская область,KG07,95.3
2017-A1,Таласская область,KG07,94.7
2018-A1,Таласская область,KG07,95.5
2019-A1,Таласская область,KG07,95.7
2020-A1,Таласская область,KG07,94.7
2021-A1,Таласская область,KG07,96.0
2016-A1,Чуйская область,KG08,98.0
2017-A1,Чуйская область,KG08,97.5
2018-A1,Чуйская область,KG08,99.4
2019-A1,Чуйская область,KG08,89.0
2020-A1,Чуйская область,KG08,94.7
2021-A1,Чуйская область,KG08,97.6
2016-A1,г. Бишкек,KG11,104.91
2017-A1,г. Бишкек,KG11,105.21
2018-A1,г. Бишкек,KG11,110.61
2019-A1,г. Бишкек,KG11,104.01
2020-A1,г. Бишкек,KG11,98.8
2021-A1,г. Бишкек,KG11,100.0
2016-A1,г. Ош,KG21,95.4
2017-A1,г. Ош,KG21,117.51
2018-A1,г. Ош,KG21,106.51
2019-A1,г. Ош,KG21,103.71
2020-A1,г. Ош,KG21,98.8
2021-A1,г. Ош,KG21,101.0
