Year,Территория,Пол,Уровень дохода или квантиль благосостояния,Уровень образования,Сноски на уровне наблюдения,GeoCode,Value
2014,,,,,,,783
2018,,,,,,,717
2023,,,,,,,701
2014,Баткенская область,,,,,KG05,812
2018,Баткенская область,,,,,KG05,833
2023,Баткенская область,,,,,KG05,711
2014,Джалал-Абадская область,,,,,KG03,871
2018,Джалал-Абадская область,,,,,KG03,639
2023,Джалал-Абадская область,,,,,KG03,631
2014,Иссык-Кульская область,,,,,KG02,816
2018,Иссык-Кульская область,,,,,KG02,798
2023,Иссык-Кульская область,,,,,KG02,382
2014,Нарынская область,,,,,KG04,806
2018,Нарынская область,,,,,KG04,724
2023,Нарынская область,,,,,KG04,688
2014,Ошская область,,,,,KG06,696
2018,Ошская область,,,,,KG06,658
2023,Ошская область,,,,,KG06,812
2014,Таласская область,,,,,KG07,849
2018,Таласская область,,,,,KG07,651
2023,Таласская область,,,,,KG07,842
2014,Чуйская область,,,,,KG08,735
2018,Чуйская область,,,,,KG08,720
2023,Чуйская область,,,,,KG08,659
2014,г. Бишкек,,,,,KG11,874
2018,г. Бишкек,,,,,KG11,813
2023,г. Бишкек,,,,,KG11,762
2014,г. Ош,,,,,KG21,520
2018,г. Ош,,,,,KG21,715
2023,г. Ош,,,,,KG21,657
2014,,Мужчины,,,,,761
2018,,Мужчины,,,,,682
2023,,Мужчины,,,,,696
2014,,Женщины,,,,,806
2018,,Женщины,,,,,750
2023,,Женщины,,,,,703
2014,,,,Первый этап среднего образования,Образование матери,,701
2018,,,,Первый этап среднего образования,Образование матери,,710
2023,,,,Первый этап среднего образования,Образование матери,,654
2014,,,,Второй этап среднего образования,Образование матери,,772
2018,,,,Второй этап среднего образования,Образование матери,,738
2023,,,,Второй этап среднего образования,Образование матери,,689
2014,,,,Послесреднее нетретичное образование,Образование матери,,808
2018,,,,Послесреднее нетретичное образование,Образование матери,,706
2023,,,,Послесреднее нетретичное образование,Образование матери,,694
2014,,,,Короткий цикл третичного образования,Образование матери,,818
2018,,,,Короткий цикл третичного образования,Образование матери,,696
2023,,,,Короткий цикл третичного образования,Образование матери,,746
2014,,,Квинтиль 1 (беднейшие),,,,765
2018,,,Квинтиль 1 (беднейшие),,,,725
2023,,,Квинтиль 1 (беднейшие),,,,626
2014,,,Квинтиль 2,,,,803
2018,,,Квинтиль 2,,,,706
2023,,,Квинтиль 2,,,,736
2014,,,Квинтиль 3,,,,730
2018,,,Квинтиль 3,,,,672
2023,,,Квинтиль 3,,,,740
2014,,,Квинтиль 4,,,,793
2018,,,Квинтиль 4,,,,710
2023,,,Квинтиль 4,,,,684
2014,,,Квинтиль 5 (богатейшие),,,,843
2018,,,Квинтиль 5 (богатейшие),,,,780
2023,,,Квинтиль 5 (богатейшие),,,,739
