Year,Территория,Тип местности,GeoCode,Value
2013,,,,17.5
2014,,,,19.5
2015,,,,19.9
2016,,,,22.1
2017,,,,23.5
2018,,,,24.6
2019,,,,25.4
2020,,,,22.0
2021,,,,23.9
2022,,,,24.6
2013,,Городская,,31.6
2014,,Городская,,32.3
2015,,Городская,,31.1
2016,,Городская,,32.3
2017,,Городская,,34.2
2018,,Городская,,34.6
2019,,Городская,,34.5
2020,,Городская,,29.1
2021,,Городская,,28.5
2022,,Городская,,40.7
2013,,Сельская,,10.8
2014,,Сельская,,13.2
2015,,Сельская,,14.2
2016,,Сельская,,16.6
2017,,Сельская,,17.9
2018,,Сельская,,19.3
2019,,Сельская,,20.6
2020,,Сельская,,20.2
2021,,Сельская,,21.3
2022,,Сельская,,20.7
2013,Баткенская область,,KG05,16.1
2014,Баткенская область,,KG05,19.6
2015,Баткенская область,,KG05,20.6
2016,Баткенская область,,KG05,23.9
2017,Баткенская область,,KG05,25.8
2018,Баткенская область,,KG05,26.3
2019,Баткенская область,,KG05,28.5
2020,Баткенская область,,KG05,26.8
2021,Баткенская область,,KG05,28.1
2022,Баткенская область,,KG05,26.6
2013,Баткенская область,Городская,KG05,33.3
2014,Баткенская область,Городская,KG05,33.1
2015,Баткенская область,Городская,KG05,30.5
2016,Баткенская область,Городская,KG05,32.8
2017,Баткенская область,Городская,KG05,33.2
2018,Баткенская область,Городская,KG05,34.0
2019,Баткенская область,Городская,KG05,42.7
2020,Баткенская область,Городская,KG05,39.8
2021,Баткенская область,Городская,KG05,44.5
2022,Баткенская область,Городская,KG05,44.5
2013,Баткенская область,Сельская,KG05,10.2
2014,Баткенская область,Сельская,KG05,14.6
2015,Баткенская область,Сельская,KG05,16.7
2016,Баткенская область,Сельская,KG05,20.5
2017,Баткенская область,Сельская,KG05,23.0
2018,Баткенская область,Сельская,KG05,23.3
2019,Баткенская область,Сельская,KG05,23.8
2020,Баткенская область,Сельская,KG05,22.7
