Year,COMPOSITE_BREAKDOWN,Value
2014-A1,Страна: Российская Федерация,465
2015-A1,Страна: Российская Федерация,445
2016-A1,Страна: Российская Федерация,360
2017-A1,Страна: Российская Федерация,364
2018-A1,Страна: Российская Федерация,347
2019-A1,Страна: Российская Федерация,330
2020-A1,Страна: Российская Федерация,370
2021-A1,Страна: Российская Федерация,375
2014-A1,Страна: Республика Беларусь,3
2015-A1,Страна: Республика Беларусь,5
2016-A1,Страна: Республика Беларусь,2
2017-A1,Страна: Республика Беларусь,5
2018-A1,Страна: Республика Беларусь,2
2020-A1,Страна: Республика Беларусь,5
2014-A1,Страна: Республика Казахстан,1
2015-A1,Страна: Республика Казахстан,5
2016-A1,Страна: Республика Казахстан,5
2017-A1,Страна: Республика Казахстан,5
2018-A1,Страна: Республика Казахстан,5
2019-A1,Страна: Республика Казахстан,3
2020-A1,Страна: Республика Казахстан,5
2021-A1,Страна: Республика Казахстан,5
2014-A1,Страна: Республика Таджикистан,50
2015-A1,Страна: Республика Таджикистан,47
2016-A1,Страна: Республика Таджикистан,44
2017-A1,Страна: Республика Таджикистан,21
2018-A1,Страна: Республика Таджикистан,33
2019-A1,Страна: Республика Таджикистан,42
2020-A1,Страна: Республика Таджикистан,20
2014-A1,Страна: Китайская Народная Республика,0
2015-A1,Страна: Китайская Народная Республика,0
2016-A1,Страна: Китайская Народная Республика,0
2017-A1,Страна: Китайская Народная Республика,25
2018-A1,Страна: Китайская Народная Республика,15
2019-A1,Страна: Китайская Народная Республика,30
2020-A1,Страна: Китайская Народная Республика,19
2021-A1,Страна: Китайская Народная Республика,18
2014-A1,Страна: Венгрия,0
2015-A1,Страна: Венгрия,0
2016-A1,Страна: Венгрия,0
2017-A1,Страна: Венгрия,23
2018-A1,Страна: Венгрия,27
2019-A1,Страна: Венгрия,62
2020-A1,Страна: Венгрия,73
2021-A1,Страна: Венгрия,150
