Year,Территория,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Сноски на уровне наблюдения,GeoCode,Value
2014,,,,,,,94.5
2018,,,,,,,96.3
2023,,,,,,,97.6
2014,,Городская,,,,,96.8
2018,,Городская,,,,,96.1
2023,,Городская,,,,,96.7
2014,,Сельская,,,,,93.0
2018,,Сельская,,,,,96.5
2023,,Сельская,,,,,98.0
2014,Баткенская область,,,,,KG05,91.8
2018,Баткенская область,,,,,KG05,99.6
2023,Баткенская область,,,,,KG05,97.0
2014,Джалал-Абадская область,,,,,KG03,93.0
2018,Джалал-Абадская область,,,,,KG03,93.4
2023,Джалал-Абадская область,,,,,KG03,98.1
2014,Иссык-Кульская область,,,,,KG02,95.2
2018,Иссык-Кульская область,,,,,KG02,99.1
2023,Иссык-Кульская область,,,,,KG02,98.7
2014,Нарынская область,,,,,KG04,97.3
2018,Нарынская область,,,,,KG04,99.4
2023,Нарынская область,,,,,KG04,99.5
2014,Ошская область,,,,,KG06,94.3
2018,Ошская область,,,,,KG06,99.1
2023,Ошская область,,,,,KG06,97.3
2014,Таласская область,,,,,KG07,91.0
2018,Таласская область,,,,,KG07,99.8
2023,Таласская область,,,,,KG07,97.1
2014,Чуйская область,,,,,KG08,92.7
2018,Чуйская область,,,,,KG08,91.6
2023,Чуйская область,,,,,KG08,99.1
2014,г. Бишкек,,,,,KG11,99.1
2018,г. Бишкек,,,,,KG11,95.7
2023,г. Бишкек,,,,,KG11,97.8
2014,г. Ош,,,,,KG21,92.4
2018,г. Ош,,,,,KG21,96.8
2023,г. Ош,,,,,KG21,90.4
2014,,,,Начальное образование,Образование главы домохозяйства,,95.1
2018,,,,Начальное образование,Образование главы домохозяйства,,92.1
2023,,,,Начальное образование,Образование главы домохозяйства,,91.1
2014,,,,Первый этап среднего образования,Образование главы домохозяйства,,90.6
2018,,,,Первый этап среднего образования,Образование главы домохозяйства,,94.7
2023,,,,Первый этап среднего образования,Образование главы домохозяйства,,97.5
2014,,,,Второй этап среднего образования,Образование главы домохозяйства,,93.6
2018,,,,Второй этап среднего образования,Образование главы домохозяйства,,97.4
2023,,,,Второй этап среднего образования,Образование главы домохозяйства,,97.6
2014,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,95.6
2018,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,96.6
2023,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,97.9
2014,,,,Короткий цикл третичного образования,Образование главы домохозяйства,,97.4
2018,,,,Короткий цикл третичного образования,Образование главы домохозяйства,,95.1
2023,,,,Короткий цикл третичного образования,Образование главы домохозяйства,,98.0
2014,,,Квинтиль 1 (беднейшие),,,,88.2
2018,,,Квинтиль 1 (беднейшие),,,,97.2
2023,,,Квинтиль 1 (беднейшие),,,,95.1
2014,,,Квинтиль 2,,,,93.4
2018,,,Квинтиль 2,,,,95.9
2023,,,Квинтиль 2,,,,97.7
2014,,,Квинтиль 3,,,,95.1
2018,,,Квинтиль 3,,,,96.5
2023,,,Квинтиль 3,,,,98.8
2014,,,Квинтиль 4,,,,95.8
2018,,,Квинтиль 4,,,,96.4
2023,,,Квинтиль 4,,,,99.0
2014,,,Квинтиль 5 (богатейшие),,,,97.9
2018,,,Квинтиль 5 (богатейшие),,,,95.7
2023,,,Квинтиль 5 (богатейшие),,,,97.6
