Year,Series,Территория,Units,Value
2010,_L_KG_060401_2A,,M_M3_PER_YR,1768.0
2011,_L_KG_060401_2A,,M_M3_PER_YR,1877.1
2012,_L_KG_060401_2A,,M_M3_PER_YR,1955.3
2013,_L_KG_060401_2A,,M_M3_PER_YR,1873.3
2014,_L_KG_060401_2A,,M_M3_PER_YR,2029.8
2015,_L_KG_060401_2A,,M_M3_PER_YR,2092.3
2016,_L_KG_060401_2A,,M_M3_PER_YR,1841.6
2017,_L_KG_060401_2A,,M_M3_PER_YR,2128.3
2018,_L_KG_060401_2A,,M_M3_PER_YR,2085.2
2019,_L_KG_060401_2A,,M_M3_PER_YR,2242.8
2010,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,116.2
2011,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,118.7
2012,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,92.6
2013,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,92.6
2014,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,4.3
2015,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,114.7
2016,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,114.5
2017,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,105.8
2018,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,101.1
2019,_L_KG_060401_2A,Баткенская область,M_M3_PER_YR,104.8
2010,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,189.7
2011,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,218.9
2012,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,451.3
2013,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,451.3
2014,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,350.0
2015,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,208.1
2016,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,200.6
2017,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,214.7
2018,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,186.3
2019,_L_KG_060401_2A,Джалал-Абадская область,M_M3_PER_YR,254.4
2010,_L_KG_060401_2A,Иссык-Кульская область,M_M3_PER_YR,164.6
2011,_L_KG_060401_2A,Иссык-Кульская область,M_M3_PER_YR,155.0
2012,_L_KG_060401_2A,Иссык-Кульская область,M_M3_PER_YR,181.6
2013,_L_KG_060401_2A,Иссык-Кульская область,M_M3_PER_YR,174.3
2014,_L_KG_060401_2A,Иссык-Кульская область,M_M3_PER_YR,198.9
2015,_L_KG_060401_2A,Иссык-Кульская область,M_M3_PER_YR,157.8
