Year,Множитель,SERIES,UNIT_MEASURE,Value
2010,Единицы,Количество отчитавшихся страховых компаний,Число,18.0
2011,Единицы,Количество отчитавшихся страховых компаний,Число,18.0
2012,Единицы,Количество отчитавшихся страховых компаний,Число,19.0
2013,Единицы,Количество отчитавшихся страховых компаний,Число,19.0
2014,Единицы,Количество отчитавшихся страховых компаний,Число,21.0
2015,Единицы,Количество отчитавшихся страховых компаний,Число,22.0
2016,Единицы,Количество отчитавшихся страховых компаний,Число,24.0
2017,Единицы,Количество отчитавшихся страховых компаний,Число,23.0
2018,Единицы,Количество отчитавшихся страховых компаний,Число,22.0
2019,Единицы,Количество отчитавшихся страховых компаний,Число,20.0
2020,Единицы,Количество отчитавшихся страховых компаний,Число,15.0
2010,Миллионы,Поступление страховых взносов,Местная валюта,477.2
2011,Миллионы,Поступление страховых взносов,Местная валюта,292.9
2012,Миллионы,Поступление страховых взносов,Местная валюта,337.8
2013,Миллионы,Поступление страховых взносов,Местная валюта,405.4
2014,Миллионы,Поступление страховых взносов,Местная валюта,1003.2
2015,Миллионы,Поступление страховых взносов,Местная валюта,967.0
2016,Миллионы,Поступление страховых взносов,Местная валюта,921.3
2017,Миллионы,Поступление страховых взносов,Местная валюта,1004.4
2018,Миллионы,Поступление страховых взносов,Местная валюта,1092.7
2019,Миллионы,Поступление страховых взносов,Местная валюта,1308.1
2020,Миллионы,Поступление страховых взносов,Местная валюта,1308.3
