Year,SERIES,Value
2013,Доля занятых в малых предприятиях от всего занятого населения в экономике,2.3
2014,Доля занятых в малых предприятиях от всего занятого населения в экономике,2.3
2015,Доля занятых в малых предприятиях от всего занятого населения в экономике,2.2
2016,Доля занятых в малых предприятиях от всего занятого населения в экономике,2.2
2017,Доля занятых в малых предприятиях от всего занятого населения в экономике,2.3
2018,Доля занятых в малых предприятиях от всего занятого населения в экономике,2.2
2019,Доля занятых в малых предприятиях от всего занятого населения в экономике,3.0
2013,Доля занятых в средних предприятиях от всего занятого населения в экономике,1.6
2014,Доля занятых в средних предприятиях от всего занятого населения в экономике,1.6
2015,Доля занятых в средних предприятиях от всего занятого населения в экономике,1.5
2016,Доля занятых в средних предприятиях от всего занятого населения в экономике,1.5
2017,Доля занятых в средних предприятиях от всего занятого населения в экономике,1.5
2018,Доля занятых в средних предприятиях от всего занятого населения в экономике,1.4
2019,Доля занятых в средних предприятиях от всего занятого населения в экономике,1.4
