Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,COMPOSITE_BREAKDOWN,Статус инвалидности,Сноски на уровне наблюдения,GeoCode,Value
2014,,,от 5 лет до 17 лет,,,,,,,,25.8
2018,,,от 5 лет до 17 лет,,,,,,,,26.7
2023,,,от 5 лет до 17 лет,,,,,,,,19.6
2014,,Мужчины,от 5 лет до 17 лет,,,,,,,,29.9
2018,,Мужчины,от 5 лет до 17 лет,,,,,,,,33.6
2023,,Мужчины,от 5 лет до 17 лет,,,,,,,,23.2
2014,,Женщины,от 5 лет до 17 лет,,,,,,,,21.5
2018,,Женщины,от 5 лет до 17 лет,,,,,,,,19.0
2023,,Женщины,от 5 лет до 17 лет,,,,,,,,16.0
2014,,,от 5 лет до 17 лет,Городская,,,,,,,12.3
2018,,,от 5 лет до 17 лет,Городская,,,,,,,11.9
2023,,,от 5 лет до 17 лет,Городская,,,,,,,14.1
2014,,,от 5 лет до 17 лет,Сельская,,,,,,,30.9
2018,,,от 5 лет до 17 лет,Сельская,,,,,,,33.6
2023,,,от 5 лет до 17 лет,Сельская,,,,,,,22.0
2014,Баткенская область,,от 5 лет до 17 лет,,,,,,,KG05,27.7
2018,Баткенская область,,от 5 лет до 17 лет,,,,,,,KG05,27.7
2023,Баткенская область,,от 5 лет до 17 лет,,,,,,,KG05,21.1
2014,Джалал-Абадская область,,от 5 лет до 17 лет,,,,,,,KG03,21.4
2018,Джалал-Абадская область,,от 5 лет до 17 лет,,,,,,,KG03,34.0
2023,Джалал-Абадская область,,от 5 лет до 17 лет,,,,,,,KG03,24.1
2014,Иссык-Кульская область,,от 5 лет до 17 лет,,,,,,,KG02,15.5
2018,Иссык-Кульская область,,от 5 лет до 17 лет,,,,,,,KG02,27.0
2023,Иссык-Кульская область,,от 5 лет до 17 лет,,,,,,,KG02,9.8
2014,Нарынская область,,от 5 лет до 17 лет,,,,,,,KG04,20.8
2018,Нарынская область,,от 5 лет до 17 лет,,,,,,,KG04,40.5
2023,Нарынская область,,от 5 лет до 17 лет,,,,,,,KG04,30.8
2014,Ошская область,,от 5 лет до 17 лет,,,,,,,KG06,34.7
2018,Ошская область,,от 5 лет до 17 лет,,,,,,,KG06,33.3
2023,Ошская область,,от 5 лет до 17 лет,,,,,,,KG06,27.5
2014,Таласская область,,от 5 лет до 17 лет,,,,,,,KG07,22.3
2018,Таласская область,,от 5 лет до 17 лет,,,,,,,KG07,35.1
2023,Таласская область,,от 5 лет до 17 лет,,,,,,,KG07,8.0
2014,Чуйская область,,от 5 лет до 17 лет,,,,,,,KG08,42.6
2018,Чуйская область,,от 5 лет до 17 лет,,,,,,,KG08,24.5
2023,Чуйская область,,от 5 лет до 17 лет,,,,,,,KG08,14.2
2014,г. Бишкек,,от 5 лет до 17 лет,,,,,,,KG11,4.5
2018,г. Бишкек,,от 5 лет до 17 лет,,,,,,,KG11,7.3
2023,г. Бишкек,,от 5 лет до 17 лет,,,,,,,KG11,4.5
2014,г. Ош,,от 5 лет до 17 лет,,,,,,,KG21,12.0
2018,г. Ош,,от 5 лет до 17 лет,,,,,,,KG21,6.1
2023,г. Ош,,от 5 лет до 17 лет,,,,,,,KG21,15.8
2014,,,от 5 до 11 лет,,,,,,,,24.5
2018,,,от 5 до 11 лет,,,,,,,,27.9
2023,,,от 5 до 11 лет,,,,,,,,28.0
2014,,,от 12 до 14 лет ,,,,,,,,25.0
2018,,,от 12 до 14 лет ,,,,,,,,23.3
2023,,,от 12 до 14 лет ,,,,,,,,11.0
2014,,,от 15 до 17 лет ,,,,,,,,30.4
2018,,,от 15 до 17 лет ,,,,,,,,26.6
2023,,,от 15 до 17 лет ,,,,,,,,0.3
2014,,,от 5 лет до 17 лет,,,,Посещение школы: Посещает,,,,27.5
2018,,,от 5 лет до 17 лет,,,,Посещение школы: Посещает,,,,27.0
2023,,,от 5 лет до 17 лет,,,,Посещение школы: Посещает,,,,20.2
2014,,,от 5 лет до 17 лет,,,,Посещение школы: Не посещает,,,,14.4
2018,,,от 5 лет до 17 лет,,,,Посещение школы: Не посещает,,,,21.6
2023,,,от 5 лет до 17 лет,,,,Посещение школы: Не посещает,,,,12.6
2014,,,от 5 лет до 17 лет,,,Начальное образование,,,Образование матери,,36.1
2014,,,от 5 лет до 17 лет,,,Первый этап среднего образования,,,Образование матери,,23.7
2018,,,от 5 лет до 17 лет,,,Первый этап среднего образования,,,Образование матери,,28.7
2023,,,от 5 лет до 17 лет,,,Первый этап среднего образования,,,Образование матери,,19.9
2014,,,от 5 лет до 17 лет,,,Второй этап среднего образования,,,Образование матери,,27.4
2018,,,от 5 лет до 17 лет,,,Второй этап среднего образования,,,Образование матери,,29.2
2023,,,от 5 лет до 17 лет,,,Второй этап среднего образования,,,Образование матери,,21.6
2014,,,от 5 лет до 17 лет,,,Послесреднее нетретичное образование,,,Образование матери,,28.3
2018,,,от 5 лет до 17 лет,,,Послесреднее нетретичное образование,,,Образование матери,,24.4
2023,,,от 5 лет до 17 лет,,,Послесреднее нетретичное образование,,,Образование матери,,21.0
2014,,,от 5 лет до 17 лет,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,Образование матери,,18.7
2018,,,от 5 лет до 17 лет,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,Образование матери,,23.1
2023,,,от 5 лет до 17 лет,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,Образование матери,,15.5
2018,,,от 5 лет до 17 лет,,,,,Ребенок с инвалидностью,,,34.9
2023,,,от 5 лет до 17 лет,,,,,Ребенок с инвалидностью,,,19.4
2018,,,от 5 лет до 17 лет,,,,,Ребенок без инвалидности,,,25.9
2023,,,от 5 лет до 17 лет,,,,,Ребенок без инвалидности,,,19.7
2014,,,от 5 лет до 17 лет,,Квинтиль 1 (беднейшие),,,,,,26.3
2018,,,от 5 лет до 17 лет,,Квинтиль 1 (беднейшие),,,,,,32.1
2023,,,от 5 лет до 17 лет,,Квинтиль 1 (беднейшие),,,,,,26.1
2014,,,от 5 лет до 17 лет,,Квинтиль 2,,,,,,28.8
2018,,,от 5 лет до 17 лет,,Квинтиль 2,,,,,,30.6
2023,,,от 5 лет до 17 лет,,Квинтиль 2,,,,,,23.8
2014,,,от 5 лет до 17 лет,,Квинтиль 3,,,,,,32.9
2018,,,от 5 лет до 17 лет,,Квинтиль 3,,,,,,31.8
2023,,,от 5 лет до 17 лет,,Квинтиль 3,,,,,,20.9
2014,,,от 5 лет до 17 лет,,Квинтиль 4,,,,,,27.1
2018,,,от 5 лет до 17 лет,,Квинтиль 4,,,,,,28.0
2023,,,от 5 лет до 17 лет,,Квинтиль 4,,,,,,16.9
2014,,,от 5 лет до 17 лет,,Квинтиль 5 (богатейшие),,,,,,11.0
2018,,,от 5 лет до 17 лет,,Квинтиль 5 (богатейшие),,,,,,6.1
2023,,,от 5 лет до 17 лет,,Квинтиль 5 (богатейшие),,,,,,8.3
